User;Soil_name;Longitude decimal;Latitude decimal;Biome;Land_use;Date;Name_exp;Unique_ID;Pot_ID;Sample;Chber;Algae_growth;Temp;DarkLight;TeflonGlass;Flowrate_lpm;Surface(cm2);Wetsoil(g);Height(cm);GravimetricWater(gw/g);Drysoil(g);SoilVolume(cm3);Bulk density;TP;VolumetricWater;AFP;WFPS;pH;pHin;Redox;OCS_flux;OCS_flux_sd;OCS_conc_out;OCS_conc_sd;OCS_conc_in;OCS_conc_in_sd;CO2_flux_aero;CO2_flux_aero_sd;CO2_conc_out;CO2_conc_out_sd;CO2_conc_in;CO2_conc_in_sd;OCS_source;OCS_source_sd;Vd_OCS_model;z1_OCS;CA_OCS;kh_OCS;CO2_flux_TGA;CO2_flux_TGA_sd;CO2_out_ppm;CO2_out_ppm_sd;CO2_in_ppm;CO2_in_ppm_sd;d13C_flux;d13C_flux_sd;d13C_conc_out;d13C_conc_out_sd;d13C_conc_in;d13C_conc_in_sd;d18O_flux;d18O_flux_sd;d18O_conc_out;d18O_conc_out_sd;d18O_conc_in;d18O_conc_in_sd;kiso;total_biomass;bacteria_16S;fungi_18S;algae_23S;d18O_01cm;d18O_12cm;d18O_23cm;d18O_34cm;clay_content;silt_content;sand_content;C_N_ratio;Comments
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_1_D1_a;LCGE_1;LCGE;1;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;314,59;301,4;1,04;0,61;0,26;0,35;0,43;6,14;NA;285;0,136;0,115;1098,426;1,55;1093,941;2,257;0,435;0,001;444,728;0,012;430,35;0,016;NA;NA;NA;NA;NA;NA;0,455;0,003;447,306;0,054;432,243;0,052;-21,785;10,17;-39,067;0,153;-39,704;0,196;59,095;10,734;-21,523;0,192;-24,408;0,17;0,00589;33514,3;7981613198,3;96056286,28;544566948,08;1,9;0,23;-0,62;-0,97;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_3_D1_a;LCGE_3;LCGE;2;n;25;Light;Glass;0,25;61,51;393;4,9;0,24;317,74;301,4;1,05;0,6;0,25;0,35;0,41;6,14;NA;280;0,408;0,117;1104,092;1,93;1090,598;1,942;0,487;0,001;446,672;0,012;430,57;0,021;NA;NA;NA;NA;NA;NA;0,479;0,004;448,156;0,066;432,299;0,063;-32,348;12,468;-40,286;0,214;-40,576;0,235;15,7;9,997;-27,345;0,176;-28,93;0,184;0,00284;29323,2;6850109540,22;78510892,21;288742904,93;1,7;0,31;-0,16;-0,89;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_5_D1_a;LCGE_5;LCGE;3;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,1;301,4;1,05;0,61;0,26;0,35;0,43;6,16;NA;273;0,399;0,094;1095,104;1,471;1081,892;1,624;0,526;0,001;447,809;0,012;430,405;0,022;NA;NA;NA;NA;NA;NA;0,496;0,003;448,175;0,05;431,759;0,051;-21,605;9,762;-39,28;0,203;-39,951;0,16;24,811;9,013;-24,647;0,168;-26,527;0,168;0,00233;41294,3;9970559516,91;222490429,26;493676834,09;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_2_D1_a;LCGE_2;LCGE;5;y;25;Light;Glass;0,25;61,51;393;5;0,24;316,73;307,55;1,03;0,61;0,25;0,36;0,41;6,39;NA;276;-0,774;0,111;1072,844;1,821;1098,437;1,861;-0,512;0,001;413,405;0,015;430,329;0,025;NA;NA;0,0175;0,068;1,7;0,0032;-0,623;0,003;411,395;0,052;431,993;0,059;-65,936;7,751;-38,762;0,204;-40,058;0,176;-118,485;9,575;-23,318;0,24;-27,857;0,23;0,02407;79243;30376145230,01;239442864,12;6480274593,16;3,3;1,54;0,77;0,16;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_4_D1_a;LCGE_4;LCGE;6;y;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,06;301,4;1,05;0,61;0,26;0,35;0,43;6,35;NA;267;-0,506;0,091;1007,633;1,623;1024,375;1,371;-0,076;0,001;427,862;0,01;430,369;0,02;NA;NA;0,0186;0,0623;1,8;0,0034;-0,081;0,004;428,909;0,064;431,591;0,059;-250,45;63,411;-38,947;0,171;-40,224;0,218;-723,414;77,417;-23,104;0,23;-27,389;0,249;0,01999;40865,3;12621737776,37;123409701,43;3746203802,14;3,3;1,14;0,47;0,3;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_6_D1_a;LCGE_6;LCGE;7;y;25;Light;Glass;0,25;61,51;393;5,1;0,24;317,33;313,7;1,01;0,62;0,24;0,38;0,39;6,45;NA;260;-0,326;0,114;1072,857;1,825;1083,651;1,958;-0,366;0,001;418,747;0,01;430,842;0,02;NA;NA;0,0094;0,1036;0,9;0,0016;-0,384;0,004;419,175;0,07;431,877;0,062;-79,128;13,059;-38,941;0,22;-40,126;0,171;-179,085;16,868;-22,865;0,26;-27,456;0,243;0,02291;51746,8;11637632076,6;124583887,74;5801959832,37;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_1_D1_b;LCGE_1;LCGE;1;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;314,59;301,4;1,04;0,61;0,26;0,35;0,43;6,14;NA;285;0,004;0,091;1104,364;1,645;1104,232;1,364;0,424;0,001;447,213;0,01;433,196;0,015;NA;NA;NA;NA;NA;NA;0,411;0,003;448,438;0,05;434,834;0,054;-25,273;10,94;-4,462;0,176;-3,811;0,161;31,991;12,527;-12,593;0,194;-13,987;0,192;0,00589;33514,3;7981613198,3;96056286,28;544566948,08;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_3_D1_b;LCGE_3;LCGE;2;n;25;Light;Glass;0,25;61,51;393;4,9;0,24;317,74;301,4;1,05;0,6;0,25;0,35;0,41;6,14;NA;280;0,455;0,1;1113,22;1,524;1098,163;1,775;0,475;0,001;448,827;0,01;433,103;0,019;NA;NA;NA;NA;NA;NA;0,457;0,004;450,132;0,061;435,007;0,073;-22,55;13,066;-4,365;0,198;-3,738;0,25;15,592;12,272;-13,408;0,214;-14,417;0,204;0,00284;29323,2;6850109540,22;78510892,21;288742904,93;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_5_D1_b;LCGE_5;LCGE;3;n;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,1;301,4;1,05;0,61;0,26;0,35;0,43;6,16;NA;273;0,3;0,107;1103,853;1,828;1093,934;1,706;0,511;0,001;450,212;0,011;433,31;0,024;NA;NA;NA;NA;NA;NA;0,478;0,003;450,495;0,059;434,683;0,055;-32,87;10,212;-4,298;0,209;-3,252;0,155;6,784;9,464;-13,199;0,179;-13,918;0,159;0,00233;41294,3;9970559516,91;222490429,26;493676834,09;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_2_D1_b;LCGE_2;LCGE;5;y;25;Light;Glass;0,25;61,51;393;5;0,24;316,73;307,55;1,03;0,61;0,25;0,36;0,41;6,39;NA;276;-0,833;0,12;1067,097;2,07;1094,644;1,915;-0,397;0,001;419,636;0,011;432,778;0,034;NA;NA;0,0175;0,068;1,7;0,0032;-0,502;0,004;418,407;0,071;435,002;0,066;6,006;10,247;-3,882;0,196;-3,506;0,203;-71,867;8,751;-11,966;0,179;-14,25;0,162;0,02407;79243;30376145230,01;239442864,12;6480274593,16;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
