soil;Andreaeopsida;Haplomitriopsida;Fragilariophyceae;Phaeophyceae;Anthocerotopsida;Raphidophyceae;Trebouxiophyceae;Mamiellophyceae;Xanthophyceae;Chlorarachniophyceae;Pelagophyceae;Chlorophyceae;Synurophyceae;Marchantiopsida;Mesostigmatophyceae;Tetraphidopsida;Chlorokybophyceae;Andreaeobryopsida;Nephroselmidophyceae;Coscinodiscophyceae;Coleochaetophyceae;Bangiophyceae;Polytrichopsida;Dinophyceae;Florideophyceae;Chlorodendrophyceae;Bryopsida;Jungermanniopsida;Haptophyceae;Klebsormidiophyceae;Chrysophyceae;Compsopogonophyceae;Bacillariophyceae;Eustigmatophyceae;Takakiopsida;Zygnemophyceae;Sphagnopsida;Charophyceae;Mediophyceae;Imbricatea;Oedipodiopsida;Ulvophyceae;Stylonematophyceae;Pedinophyceae;Leiosporocerotopsida;Glaucocystophyceae;Unknown;Unclassified;Environmental
DBZ1;0;0;0;848;0;0;7676;0;3556;0;0;3688;51;0;0;29;0;0;0;1;0;8;0;875;0;0;675;0;2;244;3;0;9009;218;1;123;0;0;0;0;85;834;0;8;0;1;1163;1002;0
DBZ2;0;0;1;623;0;0;7167;0;3909;0;0;4051;7;0;0;39;0;0;0;1;0;9;5;475;0;0;1238;0;0;226;7;0;7519;304;0;153;0;0;3;0;1;816;0;0;0;3;2448;1095;0
DBZ3;0;0;1;740;0;0;6503;0;3601;0;0;3888;33;0;0;31;0;0;0;0;0;12;0;876;0;0;900;0;1;394;3;1;9014;305;1;299;0;0;2;0;1;712;0;6;0;2;2019;755;0
DBZ4;0;0;0;21;0;0;270;0;881;0;0;841;2;0;0;178;44;0;0;0;0;1;0;63;0;0;2189;0;0;2035;0;0;1599;6;1;46;0;0;0;0;0;698;0;0;0;0;20908;317;0
DBZ5;0;0;1;16;0;0;514;0;1022;0;0;522;0;0;1;162;54;0;0;1;0;2;0;13;0;0;544;0;0;2549;0;0;1364;3;0;20;0;0;1;0;0;954;0;0;0;1;22217;139;0
DBZ6;0;0;0;14;0;0;382;0;1480;0;0;503;3;0;0;147;36;0;0;0;0;6;0;17;0;0;678;0;0;3284;0;0;1028;6;0;20;0;0;0;0;0;686;0;0;0;3;21693;114;0
LB1;0;0;0;15;0;0;1627;0;210;0;0;3076;198;0;0;5;0;0;0;0;0;1;55;0;0;0;3113;0;0;20;16;0;66;286;16;6207;0;0;0;0;2;52;0;0;0;0;4811;10324;0
LB2;0;0;0;13;0;0;1555;0;162;0;0;2714;57;0;0;4;0;0;0;0;0;6;0;4;0;0;461;0;0;332;39;0;30;204;3;8092;209;0;0;0;7;1;0;0;0;0;5097;11110;0
LB3;0;0;0;17;0;0;1643;7;219;0;0;8520;32;0;0;5;1;0;0;0;0;7;28;4;0;0;337;0;0;177;7;0;14;226;169;7486;0;0;0;0;2;2;0;0;0;0;4119;7078;0
LB4;0;0;0;3;0;0;864;0;13;0;0;26073;84;0;0;1;0;0;0;0;0;0;0;1;0;0;47;0;0;3;0;0;29;42;1;700;0;0;0;0;0;6;0;0;0;0;566;1667;0
LB5;0;0;0;0;0;0;1142;0;12;0;0;26294;49;0;0;2;0;0;0;0;0;2;0;5;0;0;31;0;0;19;0;0;21;41;5;744;1;0;0;0;0;1;0;0;0;0;413;1318;0
LB6;0;0;0;1;1;0;979;0;13;0;0;25160;53;0;0;2;0;0;0;0;0;0;7;5;0;0;41;0;0;9;2;0;30;29;4;1259;0;0;1;0;0;2;0;1;0;0;690;1811;0
LG1;0;0;3;60;0;0;5714;0;5328;0;0;2448;40;15;1;151;0;0;0;17;0;6;0;2670;0;1;2174;0;0;1925;34;1;4266;96;1;1;0;0;36;0;1;114;0;11;1;0;4037;948;0
LG2;0;0;10;28;0;0;4943;0;2640;0;0;5241;21;0;0;17;0;0;0;11;0;4;0;1509;0;0;167;0;0;128;1;9;4975;279;2;6;0;0;26;0;1;23;0;9;0;3;8893;1154;0
LG3;0;0;16;57;1;0;4727;0;5784;0;0;2174;19;25;0;225;0;0;0;19;0;7;0;1821;0;0;4383;0;0;587;2;6;4218;128;5;3;0;0;43;0;1;84;0;11;2;1;4628;1123;0
LG4;0;0;8;11;19;0;1890;0;1055;0;0;1875;10;1;0;103;0;0;0;8;0;2;1;1517;0;0;488;0;0;252;1;2;3224;130;0;7;0;0;5;0;0;24;0;1;1;0;16458;3007;0
LG5;0;0;8;44;1;0;6997;0;4581;0;0;2931;17;1;0;96;0;0;0;8;0;2;0;2461;0;0;2510;0;1;1286;5;4;4510;102;4;4;0;0;50;0;0;86;0;21;0;1;3640;729;0
LG6;0;0;21;37;0;0;3916;0;2433;0;0;4351;29;0;0;31;0;0;0;14;0;2;0;1529;0;0;185;0;0;299;1;6;4134;307;1;7;0;0;24;0;0;15;0;7;1;2;11277;1471;0
TL1;0;0;1;34;0;0;5411;0;3193;0;0;4106;9;0;0;200;0;0;0;4;0;0;45;600;0;0;4763;0;0;12;1;0;1905;418;1081;8;0;0;49;0;4;761;0;64;11;0;5854;1566;0
TL2;0;0;5;76;0;0;4606;0;3245;0;0;3947;0;0;0;228;0;0;0;5;0;0;9;1064;0;0;5560;0;0;1;0;0;2125;429;944;8;8;0;45;0;8;810;0;53;8;1;6008;907;0
TL3;0;0;3;63;0;0;4665;0;3278;0;0;3880;0;0;1;220;0;0;0;6;0;2;6;1077;0;0;5801;0;0;4;0;0;2068;435;884;4;2;0;44;0;3;773;0;72;9;0;5891;909;0
TL4;0;0;1;0;0;0;366;0;26;0;0;359;0;0;0;660;0;0;0;2;0;3;2;203;0;0;10674;0;0;3;0;0;499;41;8;4;0;0;0;0;0;14;0;3;0;0;16787;445;0
TL5;0;0;5;2;0;0;267;0;12;0;0;319;0;0;0;586;1;0;0;1;0;1;0;240;0;0;12179;0;0;4;0;0;475;36;4;2;0;0;0;0;0;8;0;4;0;0;15523;431;0
TL6;0;0;5;0;0;0;292;0;23;0;0;295;0;0;0;594;0;0;0;2;0;2;0;238;0;0;11752;0;0;3;0;0;652;44;6;7;0;0;1;0;0;8;0;1;0;0;15744;431;0
