soil;Chlorococcaceae;Chroomonadaceae;Bartramiaceae;Oocystaceae;Ulvaceae;Geminigeraceae;Grimmiaceae;Pseudolepicoleaceae;Calypogeiaceae;Gonatozygaceae;Scapaniaceae;Desmidiaceae;Andreaeobryaceae;Hymenophytaceae;Mesostigmataceae;Palmariaceae;Mniaceae;Meesiaceae;Aneuraceae;Coscinodiscaceae;Cyanophoraceae;Myliaceae;Eunotiaceae;Scourfieldiaceae;Hookeriaceae;Rhizogoniaceae;Prochlorococcaceae;Lepicoleaceae;Rhodomelaceae;Pelliaceae;Polytrichaceae;Prasiolaceae;Ectocarpaceae;Neotrichocoleaceae;Targioniaceae;Buxbaumiaceae;Monocleaceae;Pottiaceae;Corallinaceae;Andreaeaceae;Vaucheriaceae;Gigartinaceae;Stephanodiscaceae;Uronemataceae;Laminariaceae;Fragilariaceae;Hylocomiaceae;Metzgeriaceae;Udoteaceae;Peridiniaceae;Pavlovaceae;Scytonemataceae;Rivulariaceae;Dunaliellaceae;Thalassiosiraceae;Solenostomataceae;Oedipodiaceae;Prochlorotrichaceae;Leucodontaceae;Chrysochromulinaceae;Fucaceae;Mesotaeniaceae;Takakiaceae;Anthocerotaceae;Tetraphidaceae;Funariaceae;Splachnaceae;Halymeniaceae;Crustomastigaceae;Blasiaceae;Golenkiniaceae;Treubiaceae;Schistochilaceae;Schizomeridaceae;Leiosporocerotaceae;Zygnemataceae;Haplomitriaceae;Hypnaceae;Synuraceae;Orthotrichaceae;Acrobolbaceae;Thuidiaceae;Chattonellaceae;Sphaeropleaceae;Heteropediaceae;Pedinomonadaceae;Lithodesmiaceae;Microchaetaceae;Plagiotheciaceae;Plagiochilaceae;Coccomyxaceae;Eupodiscaceae;Myuriaceae;Chlorokybaceae;Resultomonadaceae;Coleochaetaceae;Pallaviciniaceae;Dolichomastigaceae;Prochloraceae;Neckeraceae;Amblystegiaceae;Hemiaulaceae;Marchantiaceae;Champiaceae;Ricciaceae;Chromulinaceae;Bryopsidaceae;Leptocylindraceae;Radulaceae;Stylonemataceae;Pylaisiadelphaceae;Prymnesiaceae;Mamiellaceae;Gracilariaceae;Geocalycaceae;Hedwigiaceae;Gymnodiniaceae;Dumortieraceae;Glenodiniaceae;Volvocaceae;Fontinalaceae;Sphagnaceae;Chlorodendraceae;Brachytheciaceae;Riellaceae;Conocephalaceae;Chaetosphaeridiaceae;Notothyladaceae;Dicranaceae;Fossombroniaceae;Phacaceae;Phaeocystaceae;Cruoriaceae;Lophocoleaceae;Alariaceae;Chaetocerotaceae;Cyanidiaceae;Euglenaceae;Selenastraceae;Haematococcaceae;Climaciaceae;Gymnomitriaceae;Marsupiomonadaceae;Lejeuneaceae;Lepidoziaceae;Paulinellidae;Cryptomonadaceae;Monomastigaceae;Porphyridiaceae;Scenedesmaceae;Ditrichaceae;Bathycoccaceae;Leucobryaceae;Ctenocladaceae;Cephaloziaceae;Rhizosoleniaceae;Pyrenomonadaceae;Ostreobiaceae;Chlamydomonadaceae;Acinetosporaceae;Peronosporaceae;Naviculaceae;Lepidolaenaceae;Chaetophoraceae;Chromochloridaceae;Gelidiaceae;Corsiniaceae;Nostocaceae;Choreocolacaceae;Frullaniaceae;Botryococcaceae;Aytoniaceae;Klebsormidiaceae;Chlorellaceae;Lunulariaceae;Sphaerocarpaceae;Monodopsidaceae;Anomodontaceae;Phaeodactylaceae;Ptilidiaceae;Gomphonemataceae;Characeae;Triparmaceae;Dendrocerotaceae;Ptychomitriaceae;Fissidentaceae;Compsopogonaceae;Mallomonadaceae;Bryaceae;Kareniaceae;Hydrodictyaceae;Ochromonadaceae;Peniaceae;Diphysciaceae;Bacillariaceae;Closteriaceae;Bryoxiphiaceae;Trichocoleaceae;Pycnococcaceae;Noelaerhabdaceae;Porellaceae;Bangiaceae;Glaucocystaceae;Archidiaceae;Lembophyllaceae;Unknown;Unclassified;Environmental
DBZ1;62;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;8649;0;1;0;91;0;0;0;0;216;14;0;0;0;0;114;0;0;3556;0;0;0;3;0;0;0;0;875;0;0;1;0;1;0;85;32;0;0;0;78;1;0;29;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;6;160;0;0;1;0;0;0;1;0;1310;720;0;74;0;0;46;0;0;95;0;0;1;0;244;4280;0;0;218;0;63;0;105;0;0;0;0;0;0;51;521;0;0;0;0;0;5;0;0;0;0;0;0;2;0;0;0;6813;1421;0
DBZ2;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;3;0;7123;0;3;0;102;0;0;0;5;163;38;0;0;0;0;157;0;0;3909;0;0;0;3;1;0;0;0;474;0;0;0;0;1;0;1;30;0;0;1;149;0;0;39;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;19;0;7;178;0;0;1;0;0;0;0;0;1459;507;0;118;0;0;32;0;0;243;0;0;0;0;226;4247;0;0;304;0;68;0;106;0;0;0;0;0;0;7;984;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;7687;1476;0
DBZ3;128;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;8532;0;0;0;69;0;0;0;0;198;22;0;0;0;0;72;0;0;3601;0;0;0;5;1;0;0;0;876;0;0;0;0;0;0;1;17;0;0;1;224;1;0;31;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;14;0;11;154;0;0;0;0;0;0;0;0;1317;644;0;133;0;0;53;0;0;414;0;0;0;0;394;3850;0;0;305;0;91;0;100;0;0;0;0;0;1;33;771;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;6612;1196;0
DBZ4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;55;0;0;0;0;1461;0;0;0;1;0;0;0;0;8;4;0;0;0;0;4;0;0;881;0;0;0;0;0;0;0;0;63;0;0;1;0;0;0;0;1;0;0;0;10;1;0;178;1;0;0;0;0;0;0;0;0;0;34;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;30;0;0;38;0;0;1;0;0;0;0;0;711;13;0;74;0;0;1;0;0;570;0;0;0;0;2035;196;0;0;6;0;31;0;14;0;0;0;0;0;0;2;1906;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;21053;592;0
DBZ5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1191;0;0;0;29;0;0;0;0;11;10;0;0;0;0;8;0;0;1022;0;0;0;0;1;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;10;0;0;162;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;37;0;0;42;0;0;0;0;0;0;1;0;420;6;0;103;0;0;2;0;0;196;0;0;0;0;2549;442;0;0;3;0;35;0;9;0;0;0;0;0;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;22922;259;0
DBZ6;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;926;0;0;0;38;0;0;0;0;7;5;0;0;0;0;13;0;0;1480;0;0;0;0;0;0;0;0;17;0;0;1;0;0;0;0;1;0;0;0;9;0;0;147;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;33;0;2;29;0;0;0;0;0;0;1;0;410;8;0;74;0;0;0;0;0;203;0;0;0;0;3284;323;0;0;6;0;15;0;1;0;0;0;0;0;0;3;609;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;22111;212;0
LB1;53;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;8;0;0;0;0;0;33;0;0;0;2;0;0;0;55;0;13;0;0;0;0;40;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;5233;16;0;5;0;0;0;0;0;0;0;0;0;0;745;0;1;0;3;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;1792;2;0;1;0;0;0;0;0;553;0;0;0;0;20;27;0;0;286;0;0;0;0;0;0;0;0;0;0;158;96;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;6156;14364;0
LB2;389;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;9;0;0;0;0;0;29;0;0;0;6;0;0;0;0;1;13;0;0;0;0;41;0;0;162;0;0;0;0;0;0;0;0;4;0;0;24;0;0;0;7;5;0;0;0;7195;3;0;4;0;0;0;0;0;0;0;0;0;0;707;0;0;0;1;0;0;0;2;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1216;0;0;0;0;0;0;0;0;1015;0;0;0;0;332;132;0;0;204;0;0;0;0;0;1;0;0;0;0;50;2;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;5757;12331;0
LB3;62;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;3;0;0;0;0;0;7;0;0;0;0;0;0;0;28;0;17;0;0;0;0;1;0;0;219;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;0;0;6985;169;0;5;0;0;0;0;0;0;0;0;0;0;413;0;0;0;1;0;0;0;1;0;0;0;0;0;0;150;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;0;0;0;0;0;1863;0;0;1;0;0;0;0;0;222;0;0;0;0;177;75;0;0;226;0;1;0;1;0;0;0;0;0;0;32;255;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;10964;8178;0
LB4;24;0;0;0;0;0;0;0;0;0;0;158;0;0;0;0;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0;4;3;0;0;0;0;11;0;0;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;317;1;0;1;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;21;0;0;0;0;0;589;0;0;1;0;0;1;0;0;46;0;0;0;0;3;202;0;0;42;0;3;0;3;0;0;0;0;0;0;84;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;26141;2349;0
