soil;Palmariales;Ptilidiales;Pelliales;Hemiaulales;Dendrocerotales;Dicranales;Lunulariales;Hedwigiales;Oedipodiales;Cymbellales;Prasiolales;Bangiales;Rhodymeniales;Takakiales;Ochromonadales;Anthocerotales;Stigonematales;Chlamydomonadales;Thalassiosirales;Monomastigales;Chlorodendrales;Marchantiales;Pottiales;Sphaeropleales;Euglyphida;Microthamniales;Sphagnales;Eustigmatales;Calobryales;Naviculales;Parmales;Diphysciales;Tribonematales;Pavlovales;Sphaerocarpales;Ignatiales;Funariales;Fragilariales;Nostocales;Pleurocapsales;Fucales;Cryptomonadales;Dolichomastigales;Prochlorales;Rhizosoleniales;Leiosporocerotales;Gigartinales;Ectocarpales;Tetraphidales;Pelagomonadales;Polytrichales;Zygnematales;Metzgeriales;Chroococcales;Bryoxiphiales;Pallaviciniales;Phaeocystales;Coscinodiscales;Pyramimonadales;Peridiniales;Bacillariales;Buxbaumiales;Hookeriales;Chattonellales;Chlorokybales;Stylonematales;Klebsormidiales;Porellales;Gelidiales;Chaetocerotales;Laminariales;Isochrysidales;Treubiales;Compsopogonales;Prymnesiales;Porphyridiales;Gloeobacterales;Blasiales;Pyrenomonadales;Ulotrichales;Andreaeales;Cyanidiales;Notothyladales;Bartramiales;Marsupiomonadales;Lithodesmiales;Chlorosarcinales;Grimmiales;Splachnales;Chlorellales;Mamiellales;Oscillatoriales;Rhizogoniales;Hypnales;Coleochaetales;Desmidiales;Bryales;Fossombroniales;Synurales;Chlorocystidales;Prasinococcales;Glaucocystales;Eupodiscales;Gracilariales;Archidiales;Chaetophorales;Andreaeobryales;Halymeniales;Corallinales;Bryopsidales;Euglenales;Chromulinales;Eunotiales;Scourfieldiales;Orthotrichales;Eutreptiales;Peronosporales;Vaucheriales;Gymnodiniales;Leptocylindrales;Charales;Jungermanniales;Ceramiales;Ctenocladales;Pedinomonadales;Ulvales;Mesostigmatales;Acrosiphoniales;Unknown;Unclassified;Environmental
DBZ1;0;0;0;0;0;1;0;0;85;105;216;2;0;1;0;0;0;3465;1;0;0;0;114;208;0;200;0;218;0;141;0;0;0;0;0;0;0;0;96;15;0;20;0;123;0;0;0;845;29;0;0;118;0;28;0;0;0;0;0;875;5;0;1;0;0;0;244;0;0;0;3;0;0;0;2;6;0;0;1;548;0;0;0;0;1;0;0;0;0;4280;0;171;0;0;0;5;539;0;51;8;0;0;0;0;0;0;0;0;0;0;0;3;8649;0;0;0;0;3556;0;0;0;0;0;0;7;268;0;0;3354;1492;0
DBZ2;0;0;0;3;0;1;0;0;1;106;163;2;0;0;0;0;0;3780;1;0;0;0;157;211;0;231;0;304;0;187;0;0;0;0;0;0;0;1;243;15;1;19;0;132;0;0;0;619;39;0;5;153;0;46;0;0;0;0;0;474;4;0;3;0;0;0;226;0;0;0;3;0;0;0;0;7;0;0;1;544;0;0;0;0;0;0;0;0;14;4247;0;1293;0;0;0;0;1011;0;7;11;0;0;0;0;0;0;0;0;0;0;29;7;7123;0;0;0;0;3909;1;0;0;0;0;0;0;217;0;0;2725;1824;0
DBZ3;0;0;0;2;0;0;0;0;1;100;198;1;0;1;0;0;0;3636;0;0;0;0;72;207;0;214;0;305;0;225;0;0;0;0;0;0;0;1;414;11;1;14;0;86;0;0;0;734;31;0;0;299;0;57;0;0;0;0;0;876;7;0;0;0;0;0;394;0;0;0;5;0;0;1;1;11;0;0;0;443;0;0;0;0;2;0;0;0;0;3851;0;817;0;8;0;0;795;0;33;10;0;0;0;0;0;0;0;0;0;0;11;3;8532;0;0;0;0;3601;0;0;0;0;0;0;4;202;0;0;2501;1382;0
DBZ4;0;0;0;0;0;1;0;0;0;14;8;1;0;1;0;0;0;793;0;0;0;0;4;39;0;5;0;6;0;105;0;0;0;0;0;0;1;0;572;6;0;30;0;2;0;0;0;21;178;0;0;46;0;1042;0;0;0;0;0;63;1;0;0;0;44;0;2035;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;55;196;0;18665;0;0;0;0;2086;0;2;1;0;0;0;0;0;0;0;0;0;0;60;0;1461;0;1;0;0;881;0;0;0;0;0;0;0;676;0;0;201;777;0
DBZ5;0;0;0;1;0;0;0;0;0;9;11;2;0;0;0;0;0;471;0;0;0;0;8;44;0;1;0;3;0;138;0;0;0;0;0;1;0;1;198;23;0;37;0;29;0;0;0;16;162;0;0;20;0;737;0;0;0;1;0;13;0;0;0;0;54;0;2549;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;442;0;20735;0;1;0;0;517;0;0;3;0;0;0;0;0;0;0;0;0;0;56;0;1191;0;0;0;0;1022;0;0;0;0;0;0;0;941;1;0;83;571;0
DBZ6;0;0;0;0;0;0;0;0;0;1;7;4;0;0;0;0;0;471;0;0;0;0;13;29;0;1;0;6;0;89;0;0;0;0;0;0;0;0;205;31;0;33;0;39;0;0;0;13;147;0;0;20;0;613;0;0;0;0;0;17;0;0;0;0;36;0;3284;0;0;0;0;0;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;0;0;323;0;20323;0;0;0;0;651;0;3;0;0;0;0;0;0;0;0;0;0;0;58;0;926;0;0;0;0;1480;0;0;0;0;0;0;0;682;0;0;77;511;0
LB1;0;0;0;0;0;0;0;0;2;0;0;1;0;16;4;0;0;2437;0;0;0;0;40;70;0;185;0;286;0;1;0;0;0;0;0;0;0;0;553;16;0;0;0;8;0;0;0;15;5;0;55;6138;0;44;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;27;0;527;0;2770;0;69;112;0;194;0;0;0;0;0;0;0;0;0;0;0;0;16;33;0;3;0;0;210;0;0;0;0;0;0;0;52;0;0;5634;10556;0
LB2;0;0;0;0;0;0;0;1;7;0;1;4;0;3;6;0;0;2166;0;0;0;0;41;9;0;231;209;204;0;0;1;0;0;0;0;0;0;0;1039;0;0;0;0;11;0;0;0;13;4;0;0;8011;0;345;0;0;0;0;0;4;0;0;0;0;0;0;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;555;0;54;0;81;11;0;50;0;0;0;0;0;0;0;0;0;0;0;1;39;29;0;1;0;0;162;0;0;0;0;0;0;0;1;0;0;4807;11535;0
LB3;0;0;0;0;0;0;0;1;2;1;0;3;0;169;0;0;0;2591;0;7;0;0;1;4;0;210;0;226;0;2;0;0;0;0;0;0;0;0;222;1;0;0;0;4;0;0;0;17;5;0;28;7476;0;19;0;0;0;0;0;4;1;0;0;0;1;0;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;91;0;44;0;10;265;0;32;1;0;0;0;0;0;0;0;0;0;0;0;7;7;0;1;0;0;219;0;0;0;0;0;0;0;1;0;0;11057;7118;0
LB4;0;0;0;0;0;21;0;0;0;3;4;0;0;1;0;0;0;1280;0;0;0;0;11;7;0;23;0;42;0;4;0;0;0;0;0;1;0;0;46;4;0;0;0;1;0;0;0;3;1;0;0;532;0;11;0;0;0;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;202;0;75;0;1;0;168;6;0;84;1;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;13;0;0;0;0;0;0;0;4;0;0;25833;1696;0
