soil;Andreaeobryophytina;Takakiophytina;Bryophytina;Sphagnophytina;Andreaeophytina;Euglenida;Unknown;Unclassified;Environmental
DBZ1;0;1;819;0;0;0;28793;487;0
DBZ2;0;0;1314;0;0;29;28171;586;0
DBZ3;0;1;949;0;0;11;28819;320;0
DBZ4;0;1;2392;0;0;60;27590;57;0
DBZ5;0;0;725;0;0;56;29291;28;0
DBZ6;0;0;835;0;0;58;29177;30;0
LB1;0;16;3177;0;0;0;16847;10060;0
LB2;0;3;475;209;0;1;18519;10893;0
LB3;0;169;374;0;0;0;22682;6875;0
LB4;0;1;49;0;0;0;28961;1089;0
LB5;0;5;37;1;0;0;29316;741;0
LB6;0;4;54;0;0;0;29554;488;0
LG1;0;1;2427;0;0;134;27340;198;0
LG2;0;2;198;0;0;174;29695;31;0
LG3;0;5;4773;0;0;148;24834;340;0
LG4;0;0;613;0;0;167;29276;44;0
LG5;0;4;2696;0;0;119;27158;123;0
LG6;0;1;225;0;0;260;29603;11;0
TL1;0;1081;5119;0;0;0;22608;1292;0
TL2;0;944;5905;8;0;0;22601;642;0
TL3;0;884;6119;2;0;0;22435;660;0
TL4;0;8;11624;0;0;0;18445;23;0
TL5;0;4;13005;0;0;0;17083;8;0
TL6;0;6;12599;0;0;0;17481;14;0
