soil;Acidimicrobiia;Actinobacteria;Alphaproteobacteria;Anaerolineae;Archaeoglobi;Armatimonadia;Bacilli;Bacteroidia;Betaproteobacteria;Caldilineae;Caldisericia;Chlorobia;Chloroflexi;Chrysiogenetes;Chthonomonadetes;Clostridia;Coriobacteriia;Cytophagia;Deferribacteres;Dehalococcoidetes;Deinococci;Deltaproteobacteria;Dictyoglomia;Elusimicrobia;Epsilonproteobacteria;Erysipelotrichi;Fibrobacteria;Flavobacteria;Flavobacteriia;Gammaproteobacteria;Gemmatimonadetes;Halobacteria;Holophagae;Ktedonobacteria;Lentisphaeria;Methanobacteria;Methanococci;Methanomicrobia;Methanopyri;Mollicutes;Negativicutes;Nitriliruptoria;Nitrospinia;Nitrospira;OPB41;Opitutae;Phycisphaerae;Planctomycetacia;Planctomycetia;Rubrobacteria;Solibacteres;Spartobacteria;Sphingobacteriia;Synergistia;Thermococci;Thermodesulfobacteria;Thermoleophilia;Thermomicrobia;Thermoplasmata;Thermoprotei;Thermotogae;Verrucomicrobiae;Unknown;Unclassified;Environmental
DBZ1;338;1355;1792;226;0;9;927;79;876;83;0;30;35;0;14;275;1;327;0;9;2;952;5;32;1;2;11;107;58;1232;151;10;1297;9;0;0;0;1;0;0;0;9;1;103;0;35;68;960;235;0;4;2;2012;0;0;0;796;61;0;2990;0;2;3207;69;0
DBZ2;294;1079;1794;226;0;2;1348;57;1084;65;0;32;21;0;36;333;0;321;0;8;3;1076;2;44;2;2;9;112;59;1333;178;7;1372;12;0;0;0;0;0;1;2;11;3;126;0;31;65;1037;260;0;2;0;1645;3;0;0;556;63;0;3112;0;4;2931;37;0
DBZ3;277;1114;1823;173;0;8;873;78;932;69;0;32;23;0;25;301;0;434;3;4;6;851;4;18;3;1;6;251;51;2645;121;6;990;11;0;0;0;0;0;0;1;9;0;94;0;34;68;982;199;0;2;1;1933;1;0;1;556;69;0;2592;0;5;3041;79;0
DBZ4;149;531;3100;130;0;4;434;386;1159;72;0;23;20;0;17;309;0;604;2;1;2;615;3;22;2;0;15;391;31;2881;115;4;761;10;0;0;0;0;0;0;1;3;5;69;0;53;53;1488;143;0;0;0;2565;0;0;0;198;39;0;1912;0;11;2279;188;0
DBZ5;154;902;2509;87;0;4;322;179;1078;49;0;32;9;0;7;233;0;884;3;0;3;372;2;12;3;1;18;590;30;5195;53;1;455;1;0;0;0;0;0;0;0;1;2;51;0;25;40;1512;130;0;3;0;1797;1;0;1;180;36;0;1639;0;7;2030;157;0
DBZ6;141;448;2263;80;0;11;447;197;972;64;0;37;11;0;11;211;1;560;4;3;2;388;0;20;3;0;23;290;29;4248;66;0;609;5;0;0;0;0;0;0;0;5;0;81;0;16;35;1507;144;0;2;0;3294;1;0;0;213;45;0;2070;0;3;2063;177;0
LB1;75;4088;3491;3;0;2;296;61;1178;2;0;106;1;0;6;389;0;451;0;2;2;383;1;32;0;1;4;86;5;1953;15;0;1872;21;0;0;0;1;0;0;0;8;0;69;0;71;242;1885;318;1;26;0;1611;0;0;0;637;1;0;637;0;4;659;104;0
LB2;115;5683;3705;4;0;1;289;46;1031;3;0;63;0;0;4;343;0;492;0;1;0;311;0;24;0;2;6;21;1;1946;7;0;2341;16;0;0;0;0;0;0;0;3;0;77;0;35;87;1707;250;0;14;0;813;0;0;0;780;2;0;154;0;2;368;53;0
LB3;131;5603;3902;2;0;0;234;30;989;5;0;85;0;0;13;357;0;366;0;1;0;316;1;26;0;0;3;23;7;1676;16;0;1692;8;0;0;0;0;0;0;0;3;1;87;0;56;181;1866;341;1;20;0;996;0;0;0;834;4;0;195;0;2;671;56;0
LB4;92;5104;3518;6;0;0;216;54;1125;1;0;68;2;0;7;378;0;455;0;2;0;353;0;21;0;4;6;70;3;1948;5;0;2000;3;0;0;0;0;0;0;0;6;0;65;0;38;233;1841;265;0;24;0;858;0;0;0;828;2;0;186;0;2;899;112;0
