soil;Medeolariales;Arthoniales;Acrospermales;Botryosphaeriales;Microthyriales;Patellariales;Trypetheliales;Venturiales;Capnodiales;Dothideales;Myriangiales;Hysteriales;Jahnulales;Mytilinidiales;Pleosporales;Chaetothyriales;Pyrenulales;Verrucariales;Coryneliales;Eurotiales;Onygenales;Mycocaliciales;Geoglossales;Laboulbeniales;Pyxidiophorales;Candelariales;Umbilicariales;Acarosporales;Lecanorales;Peltigerales;Agyriales;Baeomycetales;Ostropales;Pertusariales;Helotiales;Eremithallales;Lichinales;Orbiliales;Pezizales;Koralionastetales;Lulworthiales;Meliolales;Phyllachorales;Trichosphaeriales;Glomerellales;Hypocreales;Melanosporales;Microascales;Boliniales;Calosphaeriales;Chaetosphaeriales;Coniochaetales;Diaporthales;Magnaporthales;Ophiostomatales;Sordariales;Xylariales;Saccharomycetales;Archaeorhizomycetales;Neolectales;Schizosaccharomycetales;Taphrinales;Auriculariales;Cantharellales;Corticiales;Gloeophyllales;Hymenochaetales;Polyporales;Russulales;Sebacinales;Thelephorales;Trechisporales;Agaricales;Amylocorticiales;Atheliales;Boletales;Jaapiales;Geastrales;Gomphales;Hysterangiales;Phallales;Dacrymycetales;Cystofilobasidiales;Filobasidiales;Holtermanniales;Tremellales;Entorrhizales;Wallemiales;Classiculales;Cystobasidiales;Erythrobasidiales;Naohideales;Heterogastridiales;Leucosporidiales;Microbotryales;Sporidiobolales;Mixiales;Helicobasidiales;Pachnocybales;Platygloeales;Pucciniales;Septobasidiales;Agaricostilbales;Spiculogloeales;Atractiellales;Tritirachiales;Ceraceosorales;Doassansiales;Entylomatales;Exobasidiales;Georgefischeriales;Malasseziales;Microstromatales;Tilletiales;Urocystales;Ustilaginales;Blastocladiales;Blastocladiales_incertae_sedis;Chytridiales;Cladochytriales;Lobulomycetales;Polychytriales;Rhizophydiales;Spizellomycetales;Monoblepharidales;Entomophthorales;Dimargaritales;Harpellales;Kickxellales;Mortierellales;Endogonales;Mucorales;Zoopagales;Archaeosporales;Diversisporales;Glomerales;Paraglomerales;Crustaceacida;Neocallimastigales;Unknown;Unclassified;Environmental
DBZ1;0;4;0;2;0;0;0;0;151;7;0;0;0;0;360;327;0;31;0;305;51;0;20;0;0;0;0;0;1;3;2;0;0;1;159;0;0;1;239;0;0;0;0;0;401;1800;0;41;1;2;0;1255;276;9;14;420;94;86;0;0;12;2;902;2;20;0;1;11;1;3;0;1;60;0;2;33;0;0;0;0;0;0;17;181;0;160;4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;1;3;6;0;0;1;41;0;11;0;3;0;166;12;78;12;0;3;21;373;19;252;35;0;274;35;3;0;4;376;829;1158
DBZ2;0;0;0;3;0;0;0;0;118;3;0;0;0;0;374;278;0;18;0;189;52;2;11;0;0;0;1;0;3;6;2;0;0;0;107;0;0;2;192;0;0;0;0;0;431;1826;0;79;1;3;0;895;201;8;8;308;68;154;0;0;7;2;1038;2;41;0;3;80;4;1;0;1;51;1;0;182;0;0;0;0;0;1;18;215;0;191;5;0;0;0;2;0;0;0;0;4;0;0;0;1;1;0;0;0;2;2;0;0;0;0;0;3;5;0;0;2;91;0;20;3;3;0;67;7;106;11;0;1;38;450;38;313;46;8;171;25;3;0;3;412;713;1463
DBZ3;0;1;0;5;0;0;0;0;185;5;0;0;1;0;371;401;0;21;0;272;65;0;13;0;0;0;0;0;2;5;2;0;0;0;145;0;0;2;223;0;2;0;0;0;408;1852;0;66;0;5;0;1169;182;8;8;382;85;104;0;0;13;4;899;6;101;0;3;10;2;0;0;0;54;2;7;56;0;0;0;0;0;0;24;180;0;185;1;0;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;2;4;0;1;0;57;0;2;1;5;0;139;10;117;11;0;5;13;414;31;195;41;0;197;13;4;0;1;412;759;1221
DBZ4;0;1;0;1;0;0;0;0;80;1;0;0;1;0;573;314;0;12;0;84;11;0;8;0;0;0;0;0;12;1;0;0;0;0;121;0;0;2;108;0;2;0;0;0;258;1444;0;43;0;2;0;535;80;24;15;256;156;111;0;0;4;7;880;5;28;0;0;13;1;0;0;1;30;0;0;37;0;0;0;0;0;0;4;115;0;104;19;3;0;0;7;0;0;0;0;2;0;0;0;4;0;0;0;0;1;6;0;0;0;0;0;9;8;0;0;1;268;0;7;0;4;0;53;9;1582;90;0;2;14;228;20;171;19;12;202;184;3;0;1;585;1117;1084
DBZ5;0;1;0;0;0;0;0;0;45;5;0;0;0;0;385;144;0;3;0;88;16;0;3;0;0;0;0;0;6;2;0;0;0;0;82;0;1;4;131;0;0;0;0;0;143;2298;0;29;0;0;0;411;75;12;10;126;31;147;0;1;1;14;552;0;37;2;2;18;2;0;3;0;135;0;3;17;0;0;0;0;0;1;5;80;0;72;19;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;43;8;1;0;0;368;0;4;0;5;0;98;2;2241;157;0;1;5;142;20;115;16;12;45;207;2;0;3;538;789;1209
DBZ6;0;0;0;0;0;0;0;0;46;3;0;0;0;0;272;164;0;6;0;107;34;0;5;0;0;0;0;0;3;1;1;0;0;0;70;0;0;0;124;0;0;0;0;0;228;1081;0;31;0;2;0;396;92;14;7;184;35;110;0;0;5;5;669;2;18;1;1;16;9;0;0;0;19;0;0;40;0;0;0;0;0;0;18;91;0;84;28;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;9;0;0;0;157;0;5;0;4;0;133;14;2882;14;0;3;5;322;53;119;16;23;62;48;2;0;2;337;1593;1364
LB1;0;0;0;0;0;0;0;0;26;0;0;0;0;0;216;518;0;3;0;732;109;0;5;0;0;0;0;0;5;16;20;0;0;4;2392;0;1;0;122;0;0;0;0;0;5;216;0;5;0;0;0;100;9;0;14;16;3;140;0;0;0;0;272;15;5;1;3;71;336;1;0;8;171;6;4;383;0;0;2;0;0;0;5;87;0;611;4;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;5;0;3;0;1;0;5;2;73;1;0;0;17;519;79;299;67;1;71;13;0;0;1;286;1571;1517
LB2;0;0;0;1;0;0;0;0;23;1;0;0;1;0;132;406;0;0;0;603;72;1;2;0;0;0;0;0;3;9;2;0;0;2;2243;0;2;6;95;0;0;0;0;0;5;165;0;1;0;0;0;82;10;2;14;12;2;146;0;1;0;1;317;9;9;4;3;57;266;0;0;5;110;3;4;267;0;0;0;0;0;0;3;90;0;659;3;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;9;0;9;0;0;0;2;3;104;0;0;0;18;525;96;367;42;0;121;18;0;0;0;505;1467;2053
LB3;0;0;0;1;0;0;0;0;25;1;0;0;0;0;140;431;0;1;0;1038;149;0;6;0;0;0;0;0;2;7;9;0;0;1;2295;0;7;2;132;0;0;0;0;0;4;203;0;1;0;2;0;88;5;3;21;15;6;144;0;0;0;1;346;10;10;7;8;84;324;2;0;6;103;11;3;452;0;0;0;0;0;0;3;82;0;590;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;4;0;2;0;2;2;52;1;0;0;20;456;88;217;57;0;119;17;0;0;0;345;1489;1529
LB4;0;3;0;1;0;0;0;0;34;0;0;0;0;0;159;389;0;2;0;942;125;0;6;0;0;0;0;0;3;8;7;0;0;0;2313;0;3;2;123;0;0;0;0;0;4;236;0;2;0;1;0;90;4;1;22;12;3;164;0;0;1;0;318;15;6;7;3;68;243;1;1;5;122;2;3;385;0;0;1;0;0;0;6;96;0;600;3;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;2;11;0;10;0;0;0;0;2;120;0;0;0;14;492;63;306;44;1;198;9;1;0;1;423;1466;1484
