soil;Ascomycota;Basidiomycota;Blastocladiomycota;Chytridiomycota;Cryptomycota;Glomeromycota;Microsporidia;Neocallimastigomycota;Unknown;Unclassified;Environmental
DBZ1;6345;1717;36;790;17;315;0;4;345;722;909
DBZ2;5578;2214;87;672;10;206;0;3;396;914;1120
DBZ3;6231;1818;51;770;14;215;0;1;388;716;996
DBZ4;4508;1222;258;2464;10;384;0;1;569;555;1229
DBZ5;4397;1016;361;2935;6;251;0;3;515;471;1245
DBZ6;3187;1161;152;4398;12;138;0;2;317;566;1267
LB1;5537;2655;5;261;36;86;0;1;252;987;1380
LB2;4802;2449;9;289;58;141;0;0;476;1067;1909
LB3;5614;2621;15;193;40;136;0;0;306;843;1432
LB4;5468;2492;11;287;42;209;0;1;391;927;1372
LB5;4766;2242;15;772;11;467;0;1;667;1081;1178
LB6;5410;2269;9;628;23;407;0;1;533;907;1013
LG1;4276;1795;25;727;11;201;0;9;740;1360;2056
LG2;3588;1770;589;1609;26;181;0;9;736;802;1890
LG3;3867;2181;33;848;16;216;0;48;535;1360;2096
LG4;3317;1933;78;1009;16;135;0;37;1228;1522;1925
LG5;3449;1931;42;628;12;140;0;15;621;2962;1400
TL1;2991;1629;20;523;8;292;0;0;1498;1574;2665
TL2;2904;1562;22;616;3;462;0;3;1200;1847;2581
TL3;2755;1644;11;512;5;455;0;3;1607;1665;2543
TL4;2923;2340;376;465;11;561;0;4;1406;1067;2047
TL5;2930;2439;312;499;18;480;0;0;1419;1161;1942
TL6;2394;2358;220;434;10;656;0;4;2334;898;1892
