soil;Pleosporineae;Collematineae;Lecanorineae;Peltigerineae;Teloschistales;Boletineae;Coniophorineae;Paxilineae;Sclerodermatineae;Suillineae;Tapinellineae;Unknown;Unclassified;Environmental
DBZ1;103;0;1;0;0;1;4;0;0;0;0;343;9964;784
DBZ2;121;0;3;4;0;1;121;0;0;0;21;394;9539;996
DBZ3;97;0;1;0;1;1;11;0;0;0;0;389;9826;874
DBZ4;89;0;7;0;0;1;17;0;0;0;1;685;9598;802
DBZ5;109;0;3;0;0;0;1;0;1;1;0;601;9524;960
DBZ6;110;0;3;0;0;3;7;0;0;0;0;299;9806;972
LB1;94;0;4;0;4;4;201;0;0;65;12;259;9249;1308
LB2;46;0;1;0;10;1;163;0;0;7;5;483;8639;1845
LB3;54;0;2;0;11;3;325;0;0;7;5;308;9131;1354
LB4;63;0;3;0;6;2;294;1;0;10;0;397;9126;1298
LB5;26;0;5;1;8;1;68;0;0;21;1;663;9303;1103
LB6;48;0;5;0;43;0;231;2;0;6;2;535;9393;935
LG1;272;0;1;0;0;2;2;0;0;1;1;753;8179;1989
LG2;126;0;4;2;0;0;3;0;0;0;0;743;8512;1810
LG3;225;0;4;0;0;3;12;0;0;1;7;544;8387;2017
LG4;218;0;2;1;0;3;5;0;0;1;0;1235;7902;1833
LG5;260;0;2;0;0;4;7;0;0;1;0;638;8943;1345
TL1;112;0;2;0;0;0;28;1;0;2;7;1501;6944;2603
TL2;153;0;0;0;0;4;24;0;0;1;0;1200;7312;2506
TL3;114;0;0;0;0;1;18;0;0;0;0;1611;7006;2450
TL4;829;0;5;0;0;4;5;0;0;0;1;1367;7103;1886
TL5;749;0;0;1;0;3;7;0;0;2;1;1356;7311;1770
TL6;443;0;8;0;0;2;11;0;1;1;8;2281;6647;1798
