soil;Pezizomycotina;Saccharomycotina;Taphrinomycotina;Basidiomycota incertae sedis;Pucciniomycotina;Ustilaginomycotina;Entomophthoromycotina;Kickxellomycotina;Mortierellomycotina;Mucoromycotina;Zoopagomycotina;Unknown;Unclassified;Environmental
DBZ1;6195;83;14;0;24;11;12;27;371;297;34;337;2997;798
DBZ2;5347;149;9;0;21;8;11;42;450;383;46;394;3317;1023
DBZ3;6052;100;17;0;20;7;11;19;412;244;41;389;2975;913
DBZ4;4164;109;10;0;37;17;90;20;228;209;19;692;4775;830
DBZ5;4059;142;9;0;12;53;157;8;141;148;16;614;4853;988
DBZ6;3023;104;11;0;22;14;14;9;321;194;15;306;6157;1010
LB1;5267;139;0;0;374;1;1;17;517;258;67;260;2958;1341
LB2;4532;144;1;0;383;1;0;20;524;311;42;485;2903;1854
LB3;5323;144;1;0;325;1;0;18;455;248;57;307;2933;1388
LB4;5172;164;1;0;373;5;0;14;490;235;44;397;2964;1341
LB5;4399;240;2;0;383;2;0;23;444;311;78;664;3521;1133
LB6;5080;192;0;0;313;2;1;22;477;234;60;530;3319;970
LG1;4085;128;8;0;56;14;2;21;1106;193;129;743;2777;1938
LG2;3411;117;5;0;36;4;16;7;629;93;57;733;4261;1831
LG3;3725;76;5;0;36;7;13;25;1081;242;58;539;3395;1998
LG4;3160;77;4;0;45;15;1;14;1349;171;17;1226;3263;1858
LG5;3275;92;25;0;38;8;1868;55;809;134;42;620;2854;1380
TL1;2847;101;0;0;63;3;8;26;1383;172;43;1498;2450;2606
TL2;2719;122;4;0;74;7;2;27;1664;304;20;1195;2648;2414
TL3;2648;75;1;0;47;3;7;35;1501;117;35;1604;2643;2484
TL4;2665;36;0;0;1118;9;12;12;880;146;20;1359;3047;1896
TL5;2629;82;0;0;1483;5;107;11;875;140;17;1351;2703;1797
TL6;2231;53;3;0;1148;1;159;19;565;126;21;2271;2783;1820
