sample;light_treatment;ocs_flux;co2_flux
DBZ_1;Dark;-0.7262500000000001;0.136
DBZ_1;Light;-0.327375;0.154875
DBZ_2;Dark;-1.165;0.14925
DBZ_2;Light;-0.564875;0.178875
DBZ_3;Dark;-0.475;0.14525
DBZ_3;Light;-0.0805;0.1595
DBZ_4;Dark;-1.5405;0.60475
DBZ_4;Light;-1.2985;-0.90325
DBZ_5;Dark;-1.6712500000000001;0.73025
DBZ_5;Light;-1.381625;-0.9065
DBZ_6;Dark;-0.912;0.4135
DBZ_6;Light;-0.661625;-0.18625
LB_1;Dark;-15.417;0.16949999999999998
LB_1;Light;-2.07775;0.9155
LB_2;Dark;-3.109;0.8395
LB_2;Light;-3.5652500000000003;0.89225
LB_3;Dark;-1.1925;0.6605
LB_3;Light;-1.9024999999999999;0.80175
LB_4;Dark;-2.886;0.9175
LB_4;Light;-2.7395;0.40725
LB_5;Dark;-3.155;0.8625
LB_5;Light;-1.69175;0.38775
LB_6;Dark;-2.29;0.857
LB_6;Light;-1.62825;0.4245
LCGE_1;Dark;-1.08075;0.64425
LCGE_1;Light;0.079;0.426
LCGE_2;Dark;-1.29825;1.022
LCGE_2;Light;-0.8335;-0.40149999999999997
LCGE_3;Dark;-2.2472499999999997;0.4065
LCGE_3;Light;0.42225;0.4775
LCGE_4;Dark;-1.4665;0.93625
LCGE_4;Light;-0.87325;0.0037500000000000016
LCGE_5;Dark;-0.384;0.44675
LCGE_5;Light;0.275;0.51175
LCGE_6;Dark;-1.0150000000000001;1.13525
LCGE_6;Light;-0.45125;-0.25325
TL2_1;Dark;-0.9155;1.02375
TL2_1;Light;-1.113875;1.250875
TL2_2;Dark;-1.01725;0.97
TL2_2;Light;-0.89225;1.17675
TL2_3;Dark;-1.24375;1.52975
TL2_3;Light;-1.852875;1.56025
TL2_4;Dark;-4.427;1.492
TL2_4;Light;-3.45175;-0.48625
TL2_5;Dark;-3.59625;1.1615
TL2_5;Light;-3.37775;-0.629875
TL2_6;Dark;-3.358;1.14675
TL2_6;Light;-2.877;-0.30737499999999995
