	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta
OTU1	1515	1302	1425	1017	767	970	349	1074	154	38	36	54	25	15	2782	1078	2415	2182	3257	1458	2387	2481	2430	2199	1937	2525
OTU2	4	1	3	10	1	1	13	70	1342	1948	1869	1645	1588	2058	0	2	0	0	1	0	1	0	0	1	3	1
OTU3	532	610	440	376	372	485	220	353	185	46	48	46	17	6	325	237	270	267	353	311	381	326	360	259	208	327
OTU4	304	210	256	145	161	120	451	484	53	13	4	30	15	4	386	503	542	507	488	368	421	421	380	292	402	259
OTU5	102	108	84	74	49	46	138	192	327	382	376	380	443	439	99	73	100	57	67	48	94	88	79	59	58	81
OTU6	353	404	344	243	195	238	77	176	15	2	3	7	2	0	229	160	173	152	246	110	120	74	88	78	49	92
OTU7	0	1	605	661	1679	35	7	0	0	0	2	0	1	0	8	113	9	112	2	156	0	0	0	77	99	70
OTU8	48	27	56	97	72	156	47	11	0	0	2	0	0	0	74	797	90	570	58	634	1	5	5	73	151	42
OTU9	173	104	138	95	94	55	184	180	29	14	4	3	12	2	151	226	202	182	174	182	126	125	115	131	161	115
OTU10	189	291	176	90	49	86	135	434	18	16	11	12	15	17	82	61	77	53	67	33	118	85	109	61	55	93
OTU11	108	91	76	70	30	82	136	163	250	140	221	139	93	123	83	79	69	77	87	68	31	40	29	28	39	18
OTU12	0	8	1	0	0	1	53	69	275	339	220	342	407	430	6	2	1	5	4	3	1	2	0	3	1	1
OTU13	3	5	1	4	0	0	7	22	260	394	353	334	401	334	4	5	5	1	2	0	2	2	1	2	1	1
OTU14	261	311	225	169	139	161	21	18	4	0	1	5	1	0	52	47	38	39	46	24	97	102	107	100	47	111
OTU15	141	153	114	81	38	76	156	161	4	4	4	0	8	5	105	89	112	68	82	57	125	131	92	69	67	87
OTU16	110	86	87	38	25	36	88	110	2	1	0	1	0	0	142	65	190	113	155	82	106	115	98	69	63	80
OTU17	118	121	95	47	47	39	69	114	4	0	1	2	2	1	66	69	53	45	81	42	192	229	126	96	93	110
OTU18	50	48	38	27	12	27	107	31	4	0	0	3	1	2	29	30	24	26	15	20	285	283	273	151	161	189
OTU19	109	145	90	70	31	52	74	84	3	2	0	0	4	0	92	90	109	71	103	69	140	139	112	68	63	100
OTU20	1	4	0	0	0	0	18	22	264	307	324	331	313	191	1	0	1	0	0	0	1	0	0	0	0	0
OTU21	1	1	90	655	307	608	0	0	1	0	0	1	0	0	0	13	0	3	0	22	0	0	0	0	0	1
OTU22	0	3	1	0	1	0	3	5	227	310	221	248	296	298	1	0	0	0	0	0	0	0	0	0	0	0
OTU23	116	158	127	122	71	85	2	33	3	0	0	2	1	0	11	17	9	11	15	6	157	130	125	91	50	119
OTU24	16	8	7	3	3	5	5	25	129	184	194	231	303	254	13	11	11	5	1	3	9	7	1	7	3	5
OTU25	0	0	1	1	1	0	1	0	0	0	0	3	0	0	3	9	0	266	2	38	0	1	1	394	385	312
OTU26	12	17	78	148	239	165	18	5	0	0	0	0	0	0	13	43	20	56	5	61	82	78	91	80	89	56
OTU27	21	19	18	13	5	15	112	45	6	2	1	2	2	2	54	29	80	52	50	37	130	162	159	79	70	112
OTU28	0	0	0	0	0	0	0	0	0	0	2	187	614	461	0	0	0	0	0	0	0	0	0	0	0	0
OTU29	30	47	24	25	13	17	67	65	113	133	102	155	120	115	21	13	22	14	12	12	25	29	35	20	13	14
OTU30	45	23	24	11	11	13	4	70	0	0	0	0	0	0	139	70	103	49	53	40	118	136	141	47	70	77
OTU31	42	68	44	69	53	94	79	46	7	6	0	4	4	1	52	54	78	58	65	75	27	31	23	50	63	48
OTU32	11	15	59	62	135	59	70	42	8	4	3	4	1	2	42	42	66	171	30	228	4	13	11	16	10	17
OTU33	13	9	62	44	167	35	59	8	0	0	1	1	0	0	45	238	72	68	28	234	2	3	2	3	2	2
OTU34	65	50	54	23	19	24	65	73	4	0	0	0	3	0	90	104	89	62	73	54	54	38	34	24	40	42
OTU35	0	0	0	0	1	1059	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0
OTU36	30	20	16	8	8	7	9	26	103	146	133	130	122	179	13	10	10	10	8	8	15	13	12	8	4	10
OTU37	2	5	0	1	1	0	11	20	123	179	106	178	169	219	4	1	2	2	1	0	0	1	0	0	1	0
