Taxonomy_highest	Actinobacteria	Actinobacteria	Proteobacteria	Chloroflexi	Euryarchaeota	Armatimonadetes	Firmicutes	Bacteroidetes	Proteobacteria	Chloroflexi	Caldiserica	Chlorobi	Chloroflexi	Chrysiogenetes	Armatimonadetes	Firmicutes	Actinobacteria	Bacteroidetes	Deferribacteres	Chloroflexi	Deinococcus-Thermus	Proteobacteria	Dictyoglomi	Elusimicrobia	Proteobacteria	Firmicutes	Fibrobacteres	Bacteroidetes	Bacteroidetes	Proteobacteria	Gemmatimonadetes	Euryarchaeota	Acidobacteria	Chloroflexi	Lentisphaerae	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Tenericutes	Firmicutes	Actinobacteria	Nitrospinae	Nitrospirae	Actinobacteria	Verrucomicrobia	Planctomycetes	Planctomycetes	Planctomycetes	Actinobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Synergistetes	Euryarchaeota	Thermodesulfobacteria	Actinobacteria	Chloroflexi	Euryarchaeota	Crenarchaeota	Thermotogae	Verrucomicrobia	Unknown	Unclassified	Environmental	
Taxonomy_class	Acidimicrobiia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Archaeoglobi	Armatimonadia	Bacilli	Bacteroidia	Betaproteobacteria	Caldilineae	Caldisericia	Chlorobia	Chloroflexi	Chrysiogenetes	Chthonomonadetes	Clostridia	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidetes	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Epsilonproteobacteria	Erysipelotrichi	Fibrobacteria	Flavobacteria	Flavobacteriia	Gammaproteobacteria	Gemmatimonadetes	Halobacteria	Holophagae	Ktedonobacteria	Lentisphaeria	Methanobacteria	Methanococci	Methanomicrobia	Methanopyri	Mollicutes	Negativicutes	Nitriliruptoria	Nitrospinia	Nitrospira	OPB41	Opitutae	Phycisphaerae	Planctomycetacia	Planctomycetia	Rubrobacteria	Solibacteres	Spartobacteria	Sphingobacteriia	Synergistia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Verrucomicrobiae	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	102	630	857	94	0	2	436	44	453	29	0	13	13	0	6	118	3	174	0	1	4	488	1	10	2	1	3	70	32	621	45	4	651	0	0	0	0	1048	0	0	0	5	1	27	0	24	43	461	110	0	1	0	1102	0	0	0	325	26	0	1691	0	0	196	33	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	92	473	817	108	0	0	598	37	531	23	0	19	9	0	11	179	2	187	0	3	6	519	1	20	1	2	3	45	55	644	45	4	734	4	0	0	0	938	0	0	2	5	9	43	0	15	31	526	116	0	2	0	847	1	0	0	216	34	0	1822	0	3	200	18	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	108	453	868	88	0	4	452	32	421	36	0	18	5	0	13	147	2	238	1	2	6	398	0	6	1	0	3	154	36	1251	25	2	496	1	0	0	0	1034	0	1	0	4	7	28	0	22	36	442	87	0	0	0	1030	0	0	0	238	25	0	1481	0	2	253	43	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	61	202	1450	54	0	9	250	48	527	39	0	9	14	0	13	151	2	407	1	3	2	284	1	7	1	1	7	238	26	1435	37	2	342	0	0	0	0	807	0	0	0	1	6	19	0	28	19	722	63	0	0	0	1263	0	0	0	78	11	0	1095	0	4	182	79	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	64	176	1243	30	0	4	323	44	473	24	0	17	6	0	2	132	0	484	3	1	0	178	0	4	0	0	2	296	24	2380	14	1	218	0	0	0	0	612	0	3	0	1	7	18	0	17	17	706	53	0	2	0	1012	0	0	0	68	22	0	907	0	2	337	73	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	64	190	1068	38	0	3	255	39	411	24	0	15	8	0	3	123	1	343	1	0	1	207	0	12	0	0	6	194	23	1892	19	0	329	0	0	0	0	741	0	0	0	0	4	22	0	13	19	718	52	0	1	0	1642	0	0	0	88	24	0	1187	0	1	127	92	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	34	223	725	111	0	1	290	202	775	20	0	35	1	0	14	361	0	240	1	7	7	753	0	42	0	14	6	212	59	948	70	4	830	18	0	4	0	255	0	1	0	4	6	40	0	38	79	500	75	0	1	0	1792	4	0	0	108	12	1	568	0	19	447	43	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	84	475	773	135	0	1	634	61	492	27	0	12	10	0	16	312	1	118	0	10	2	493	0	22	2	4	0	136	26	798	46	0	930	20	0	0	0	782	0	0	6	11	5	30	0	16	89	436	84	0	3	0	1529	0	0	0	313	16	0	857	0	12	162	9	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	25	2094	1613	2	0	2	141	37	694	0	0	7	0	0	4	282	0	226	0	0	1	197	0	13	0	1	0	45	10	741	2	0	960	5	0	0	1	114	0	0	0	1	1	25	0	32	133	744	100	0	12	0	948	0	0	0	297	1	0	333	0	3	98	55	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	34	2798	1909	3	0	0	126	23	557	2	0	5	0	0	2	272	0	252	0	0	0	145	0	11	0	2	1	5	3	649	4	0	1179	7	0	0	0	26	0	0	0	0	0	36	0	16	59	748	79	0	10	0	476	0	0	0	374	1	0	100	0	2	64	20	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	49	2829	1865	3	0	0	102	23	579	2	0	6	0	0	2	278	0	162	0	0	0	168	0	9	0	0	0	8	6	642	3	0	899	3	0	0	0	25	0	0	0	0	0	35	0	26	106	733	120	0	12	0	579	0	0	0	430	0	0	133	0	1	140	22	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	28	2486	1912	6	0	0	100	34	609	0	0	1	0	0	2	282	0	213	0	0	0	149	0	14	0	0	2	31	4	768	1	0	1083	3	0	0	0	48	0	0	0	0	0	34	0	18	103	793	100	0	7	0	498	0	0	0	391	1	0	102	0	2	118	57	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	18	2468	2472	3	0	1	106	11	580	4	0	10	0	0	4	191	0	347	0	0	0	101	0	6	0	0	7	94	1	662	2	1	1209	3	0	0	0	20	0	0	0	0	0	30	0	8	46	667	77	0	10	0	356	0	0	0	316	1	0	52	0	5	77	34	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	20	2915	2120	8	0	0	88	20	536	0	0	2	0	0	6	210	0	320	0	0	0	101	0	5	0	2	4	99	4	648	3	0	1296	9	0	0	0	15	0	0	0	0	0	32	0	13	47	520	75	0	12	0	336	0	0	0	415	0	0	13	0	2	52	52	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	106	443	605	62	0	4	214	34	377	7	0	30	10	0	6	190	0	136	2	2	4	510	0	12	0	0	6	127	20	923	28	0	519	3	0	0	0	1908	0	0	0	2	11	41	0	25	32	307	35	0	2	0	1271	0	0	0	253	18	0	1269	0	1	383	62	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	82	413	758	73	0	0	485	76	405	28	0	35	6	0	3	217	2	226	1	0	0	503	0	10	0	2	2	215	62	1190	17	0	456	2	0	0	0	677	0	0	2	3	4	25	0	33	28	330	52	0	1	0	1788	2	0	1	173	23	0	793	0	6	245	545	0	
