Taxonomy_highest	Acidobacteria	Tenericutes	Crenarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Actinobacteria	Proteobacteria	Proteobacteria	Chloroflexi	Tenericutes	Aquificae	Euryarchaeota	Armatimonadetes	Firmicutes	Bacteroidetes	Proteobacteria	Actinobacteria	Proteobacteria	Chloroflexi	Caldiserica	Proteobacteria	Planctomycetes	Proteobacteria	Actinobacteria	Proteobacteria	Thaumarchaeota	Chlamydiae	Chlorobi	Chloroflexi	Proteobacteria	Cyanobacteria	Chrysiogenetes	Armatimonadetes	Firmicutes	Actinobacteria	Actinobacteria	Bacteroidetes	Deferribacteres	Chloroflexi	Deinococcus-Thermus	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Crenarchaeota	Proteobacteria	Dictyoglomi	Elusimicrobia	Proteobacteria	Tenericutes	Firmicutes	Actinobacteria	Crenarchaeota	Fibrobacteres	Bacteroidetes	Actinobacteria	Fusobacteria	Actinobacteria	Proteobacteria	Gemmatimonadetes	Actinobacteria	Firmicutes	Euryarchaeota	Tenericutes	Chloroflexi	Acidobacteria	Proteobacteria	Ignavibacteria	Actinobacteria	Proteobacteria	Chloroflexi	Firmicutes	Proteobacteria	Lentisphaerae	Proteobacteria	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Verrucomicrobia	Proteobacteria	Proteobacteria	Actinobacteria	Actinobacteria	Tenericutes	Proteobacteria	Firmicutes	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Thaumarchaeota	Thaumarchaeota	Nitrospinae	Nitrospirae	Cyanobacteria	Proteobacteria	Verrucomicrobia	Cyanobacteria	Proteobacteria	Proteobacteria	Planctomycetes	Planctomycetes	Cyanobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Actinobacteria	Verrucomicrobia	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Firmicutes	Proteobacteria	Acidobacteria	Actinobacteria	Chloroflexi	Bacteroidetes	Proteobacteria	Spirochaetes	Actinobacteria	Actinobacteria	Crenarchaeota	Synergistetes	Proteobacteria	Deinococcus-Thermus	Firmicutes	Euryarchaeota	Thermodesulfobacteria	Chloroflexi	Firmicutes	Chloroflexi	Euryarchaeota	Crenarchaeota	Thermotogae	Proteobacteria	Verrucomicrobia	Proteobacteria	Lentisphaerae	Proteobacteria	Unknown	Unclassified	Environmental	
Taxonomy_order	Acanthopleuribacterales	Acholeplasmatales	Acidilobales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Actinomycetales	Aeromonadales	Alteromonadales	Anaerolineales	Anaeroplasmatales	Aquificales	Archaeoglobales	Armatimonadales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Caldilineales	Caldisericales	Campylobacterales	Candidatus_Brocadiales	Cardiobacteriales	Catenulisporales	Caulobacterales	Cenarchaeales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chrysiogenales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfurococcales	Desulfuromonadales	Dictyoglomales	Elusimicrobiales	Enterobacteriales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fervidicoccales	Fibrobacterales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gallionellales	Gemmatimonadales	Glycomycetales	Halanaerobiales	Halobacteriales	Haloplasmatales	Herpetosiphonales	Holophagales	Hydrogenophilales	Ignavibacteriales	Kineosporiales	Kordiimonadales	Ktedonobacterales	Lactobacillales	Legionellales	Lentisphaerales	Magnetococcales	Methanobacteriales	Methanocellales	Methanococcales	Methanomicrobiales	Methanopyrales	Methanosarcinales	Methylacidiphilales	Methylococcales	Methylophilales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Natranaerobiales	Nautiliales	Neisseriales	Nitriliruptorales	Nitrosomonadales	Nitrosopumilales	Nitrososphaerales	Nitrospinales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Oscillatoriales	Parvularculales	Pasteurellales	Phycisphaerales	Planctomycetales	Pleurocapsales	Procabacteriales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Salinisphaerales	Selenomonadales	Sneathiellales	Solibacterales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Streptosporangiales	Sulfolobales	Synergistales	Syntrophobacterales	Thermales	Thermoanaerobacterales	Thermococcales	Thermodesulfobacteriales	Thermogemmatisporales	Thermolithobacterales	Thermomicrobiales	Thermoplasmatales	Thermoproteales	Thermotogales	Thiotrichales	Verrucomicrobiales	Vibrionales	Victivallales	Xanthomonadales	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	1	0	56	102	0	3	56	1	6	94	0	0	0	2	422	44	22	0	372	29	0	2	2	0	0	47	0	0	13	12	244	0	0	6	60	3	31	174	0	1	4	1	70	12	0	888	57	1	10	28	0	1	4	41	3	102	44	0	201	0	44	0	0	4	0	0	650	8	0	5	0	0	14	42	0	1	0	0	0	1048	0	0	0	1	6	132	21	0	262	0	0	0	1	7	0	0	1	27	0	22	24	0	0	0	43	569	0	0	301	60	55	0	603	15	59	102	13	1	0	0	2	1	125	14	1102	74	0	34	7	0	0	52	0	57	0	0	0	1	12	0	706	0	7	0	0	0	209	144	40	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	54	92	0	1	55	0	6	108	0	0	0	0	585	37	21	0	438	23	0	1	2	0	0	36	0	0	19	8	208	0	0	11	88	2	19	187	0	3	6	0	67	19	1	980	82	1	18	20	0	2	5	31	3	100	23	0	131	0	45	0	0	4	0	0	734	5	1	9	0	3	10	74	0	0	0	0	0	938	0	0	0	1	4	101	11	0	274	1	0	1	0	8	0	0	9	43	0	16	14	0	0	0	31	640	0	0	232	72	42	0	565	22	69	118	12	0	0	2	0	2	85	13	847	63	0	28	8	0	1	41	0	89	0	0	0	1	17	0	757	0	11	3	1	0	231	164	34	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	57	108	1	0	44	0	3	88	0	0	0	4	442	32	19	0	338	36	0	1	2	3	0	53	0	0	18	5	217	0	0	13	75	2	25	238	1	2	6	0	68	14	0	804	66	0	6	671	1	0	4	20	2	190	34	0	149	0	24	0	1	2	0	0	496	8	2	1	0	0	10	59	0	0	0	0	0	1034	0	0	0	0	3	101	8	0	194	0	0	0	0	10	0	0	7	28	0	27	22	0	0	0	36	527	1	0	211	71	41	0	487	51	62	95	34	0	0	0	1	0	89	11	1030	145	0	25	5	0	0	27	0	65	0	0	0	6	13	0	600	0	12	2	0	0	184	224	46	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	41	61	0	0	30	0	8	54	0	0	0	9	239	48	10	0	413	39	0	1	2	0	0	47	0	0	9	14	142	0	0	13	83	2	29	407	1	3	2	0	47	10	0	632	45	1	6	846	0	1	1	8	7	264	24	0	49	0	37	0	0	2	0	0	342	4	3	2	0	0	9	56	0	0	0	0	0	807	0	0	0	0	14	50	7	0	130	0	0	0	0	7	0	0	6	19	0	62	27	0	0	0	19	783	0	0	74	89	3	0	486	137	76	112	85	0	0	0	1	0	29	5	1263	578	0	11	2	0	0	35	0	65	0	0	0	3	5	0	414	0	8	4	0	0	221	172	88	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	27	64	0	0	17	0	7	30	0	0	0	4	313	44	6	0	379	24	0	0	2	0	0	63	0	0	17	6	110	0	0	2	74	0	24	484	3	1	0	0	30	11	0	547	24	0	4	1779	3	0	1	6	2	320	8	0	44	0	14	0	0	1	0	0	218	6	1	1	0	0	10	100	0	0	0	0	0	612	0	0	0	0	14	51	5	0	86	0	0	1	0	3	0	0	7	18	0	58	16	0	0	0	17	757	0	0	69	161	12	0	416	150	58	90	81	0	0	0	1	2	24	10	1012	441	0	2	4	0	0	15	0	58	0	0	0	0	11	0	327	0	9	2	0	0	154	336	79	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	41	64	0	0	17	0	3	38	0	0	0	3	232	39	9	0	327	24	0	0	1	1	1	67	0	0	15	8	126	0	0	3	57	1	14	343	1	0	1	0	43	2	0	694	47	0	12	1427	0	0	0	14	6	217	22	0	61	0	19	0	0	0	0	0	329	4	1	0	0	0	23	40	0	0	0	0	0	741	0	0	0	0	14	39	8	0	71	1	0	0	0	8	0	0	4	22	0	58	13	0	0	0	19	769	0	0	82	99	18	0	418	115	51	104	27	0	0	0	0	1	27	14	1642	331	0	5	1	0	0	28	0	63	0	0	0	2	10	0	438	0	7	1	0	0	128	128	96	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	2	0	0	34	0	1	20	0	11	111	0	0	0	1	281	202	11	0	569	20	0	0	2	0	1	46	0	0	35	1	293	0	0	14	198	0	15	240	1	7	7	0	138	18	0	339	184	0	41	17	0	14	3	0	5	271	25	0	65	0	70	0	3	4	1	0	828	13	17	1	0	17	9	50	0	1	4	0	0	255	0	0	0	0	9	101	20	0	270	2	0	1	1	37	0	0	6	40	0	22	37	0	0	0	77	573	0	0	42	112	11	1	494	23	142	104	11	0	0	0	0	1	43	8	1792	46	3	6	1	0	4	123	0	157	0	0	1	1	4	1	229	0	7	19	0	0	432	349	121	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	27	84	0	2	32	0	1	135	0	0	0	1	620	61	3	0	345	27	0	2	0	0	2	28	0	0	12	8	277	0	0	16	150	1	40	118	0	10	2	0	121	7	0	610	90	0	22	15	0	4	11	1	0	162	96	0	191	0	46	0	1	0	0	2	929	3	3	3	0	19	14	48	0	0	0	0	0	782	0	0	0	0	9	108	8	0	198	1	0	0	0	16	0	0	5	30	0	32	16	0	0	0	88	520	0	1	170	102	26	0	552	15	116	130	3	0	0	6	0	3	122	9	1529	44	0	22	0	0	0	67	0	156	0	0	0	4	7	0	219	0	4	12	0	0	315	139	12	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	2	25	0	5	7	0	5	2	0	0	0	2	111	37	0	0	468	0	0	0	0	0	2	118	0	0	7	0	12	0	0	4	131	0	153	226	0	0	1	0	14	4	0	237	59	0	13	4	0	1	1	0	0	55	1521	0	27	0	2	0	0	0	0	0	960	0	2	0	0	4	30	391	0	0	0	0	1	114	0	0	0	1	205	395	1	0	101	1	0	0	0	5	0	0	1	25	0	45	32	0	1	0	129	844	0	0	3	22	7	0	599	4	16	854	11	0	0	0	1	12	271	0	948	25	0	7	5	0	0	4	0	143	0	0	0	7	1	0	94	0	20	3	0	0	233	111	55	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	0	0	0	34	0	2	3	0	6	3	0	0	0	0	105	23	0	0	298	2	0	0	0	0	2	122	0	0	5	0	6	0	0	2	105	0	202	252	0	0	0	0	2	2	0	70	77	0	11	2	0	2	0	0	0	8	2115	0	37	0	4	0	0	0	0	0	1179	1	0	0	0	7	21	297	0	0	0	0	0	26	0	0	0	0	252	471	0	0	50	1	0	0	0	0	0	0	0	36	0	30	16	0	0	0	59	827	0	0	2	14	1	0	639	1	5	1123	11	0	0	0	0	10	337	1	476	13	0	2	3	0	0	1	0	156	0	0	0	10	0	0	30	0	10	2	0	0	279	79	20	0	
