Taxonomy_highest	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Caldiserica	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteria	Korarchaeota	Lentisphaerae	Nanoarchaeota	Nitrospinae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	TM6	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	Unknown	Unclassified	Environmental	
Taxonomy_phylum	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Caldiserica	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteria	Korarchaeota	Lentisphaerae	Nanoarchaeota	Nitrospinae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	TM6	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	666	1130	0	10	1422	0	0	13	165	0	1691	4	0	4	1	10	1052	3	555	0	45	0	0	0	0	1	27	620	2425	0	0	0	0	93	0	0	24	11	28	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	743	847	0	12	1171	0	0	20	186	0	1822	3	0	6	1	20	942	3	781	0	45	0	0	0	0	9	43	685	2514	0	1	0	0	89	0	0	24	13	20	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	502	854	0	17	1492	0	0	20	158	0	1481	80	1	6	0	6	1036	3	599	0	25	0	0	0	0	7	28	570	2940	0	0	0	1	84	0	0	25	27	38	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	345	374	0	22	1983	0	0	12	125	0	1095	69	1	2	1	7	809	7	402	0	37	0	0	0	0	6	19	811	3697	0	0	0	0	55	0	0	33	10	78	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	222	327	0	6	1861	0	0	18	85	0	907	256	3	0	0	4	613	2	455	0	14	0	0	0	0	7	18	779	4275	0	0	0	3	49	0	0	20	5	71	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	332	363	0	6	2242	0	0	16	95	0	1187	34	1	1	0	12	741	6	378	0	19	0	0	0	0	4	22	798	3581	0	0	0	0	52	0	0	15	10	85	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	839	391	0	16	2506	0	0	52	171	0	568	5	1	7	0	42	264	6	665	0	70	0	0	0	0	6	40	660	3201	3	4	0	1	343	0	0	63	33	43	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	941	923	0	17	1870	0	0	15	224	0	857	4	0	2	0	22	782	0	957	0	46	0	0	0	0	5	30	615	2559	0	0	0	0	82	0	0	28	15	6	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_16S_ORCA_16S_S3_L001_R1_001_prinseq_good_t7n.extendedFrags.fasta	978	2425	0	6	1266	0	0	9	10	0	333	4	0	1	0	13	115	0	424	0	2	0	0	0	0	1	25	986	3257	0	0	0	0	57	0	0	35	5	48	0	
