	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta
OTU1	493	392	530	363	208	201	706	2064	1830	1895	1995	1735	1856	692	741	635	476	561	388	424	343	399	230	166	194
OTU2	369	455	388	187	111	220	1634	435	427	396	397	340	354	942	515	800	1063	634	494	1014	1230	1124	531	577	436
OTU3	1125	976	1079	703	856	445	356	68	68	56	53	58	58	539	398	497	393	372	342	388	384	353	173	146	113
OTU4	174	201	222	81	34	68	97	209	241	141	168	167	126	437	222	378	256	224	201	645	619	410	280	219	207
OTU5	11	123	27	31	72	17	542	458	331	553	408	163	297	50	72	213	154	164	394	176	137	195	292	123	153
OTU6	1	7	7	1148	1359	2136	0	1	0	0	0	0	0	2	108	0	21	0	194	1	0	1	1	2	1
OTU7	120	155	155	83	65	71	330	351	382	373	351	457	356	127	83	127	95	79	75	57	72	71	30	26	29
OTU8	239	164	275	181	91	128	77	281	225	219	228	204	200	256	100	192	136	131	117	65	56	61	17	12	31
OTU9	1	2	2	371	444	10	1	3	3	1	3	1	2	4	12	8	8	3	12	4	13	17	1142	967	494
OTU10	0	3	7	0	0	2	15	0	0	1	1	2	1	56	26	39	13	40	25	249	69	458	194	311	1265
OTU11	188	235	212	78	52	84	170	29	51	27	33	24	30	187	257	175	164	149	129	58	54	50	19	18	36
OTU12	0	1	0	0	0	1	1	421	616	510	413	244	59	1	3	1	1	1	0	2	0	0	3	0	0
OTU13	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	18	13	27	618	818	612
OTU14	107	54	96	20	32	27	54	233	222	308	266	182	259	22	12	14	10	6	9	10	7	8	2	1	1
OTU15	150	63	124	62	69	100	48	14	2	4	3	4	17	96	121	137	120	82	114	104	172	162	64	56	69
OTU16	111	125	129	57	28	38	117	43	39	37	54	29	44	80	164	106	98	104	69	54	41	57	18	10	20
OTU17	52	69	53	21	8	22	141	87	80	98	84	69	80	81	43	87	85	77	46	77	91	64	29	23	25
OTU18	10	7	7	9	3	10	14	226	235	225	243	251	181	25	16	12	27	15	22	9	8	10	3	3	2
OTU19	21	4	5	31	5	92	12	4	3	2	2	1	1	100	107	97	129	54	99	136	142	118	90	125	89
OTU20	35	38	41	17	12	15	168	75	60	76	75	58	85	85	40	79	98	56	37	67	80	49	28	28	22
OTU21	1	0	2	11	54	0	3	0	0	1	0	0	0	0	0	0	1	1148	1	2	0	0	6	56	83
OTU22	376	247	290	113	105	98	4	4	2	2	2	0	3	5	2	1	3	6	4	2	1	0	0	0	0
OTU23	0	0	2	0	2	2	6	26	46	30	36	73	74	31	7	37	13	20	7	123	53	68	196	141	216
OTU24	1	1	10	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	2	320	260	582	4	12	0
OTU25	26	37	38	10	8	15	45	60	59	38	29	2	25	120	79	174	102	104	70	14	33	28	1	10	9
OTU26	20	28	35	18	10	11	33	144	182	120	142	179	141	0	0	0	1	1	0	0	0	0	1	1	2
OTU27	59	70	63	31	18	25	77	25	20	20	16	22	30	66	41	57	52	61	28	56	41	42	19	17	22
OTU28	118	82	114	107	43	37	27	9	19	13	21	14	14	44	34	37	45	30	30	42	13	21	11	25	5
OTU29	0	2	1	0	0	1	23	21	8	13	8	8	8	41	225	87	58	3	268	20	52	20	49	17	10
OTU30	21	9	7	18	3	6	8	37	49	25	108	223	279	14	9	8	8	10	8	19	24	22	8	10	5
OTU31	3	11	9	55	124	92	0	0	0	0	1	1	0	1	0	1	1	2	3	1	1	2	288	187	133
OTU32	3	1	1	0	0	0	1	0	0	1	1	0	0	0	425	0	42	3	374	0	0	0	0	0	0
OTU33	32	39	36	24	16	16	14	68	92	91	93	121	87	23	13	9	16	6	21	7	7	14	1	1	3
OTU34	63	60	97	84	15	9	15	19	36	24	11	12	12	38	28	51	15	20	36	7	29	71	14	34	45
OTU35	3	9	8	2	0	1	15	6	3	1	1	0	1	28	58	43	60	34	36	119	105	100	50	26	49
