DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU1	Environmental(7) Ascomycota(18945) Basidiomycota(565) 	Pezizomycetes(784) Saccharomycetes(4) Leotiomycetes(11147) Sordariomycetes(303) Eurotiomycetes(372) Unknown(9) Environmental(15) Lecanoromycetes(71) Dothideomycetes(5757) Agaricomycetes(272) Tremellomycetes(307) Geoglossomycetes(25) Unclassified(425) Orbiliomycetes(26) 	Saccharomycetales(4) Pleosporales(4572) Cystofilobasidiales(4) Amylocorticiales(1) Onygenales(156) Geoglossales(29) Orbiliales(26) Auriculariales(5) Agyriales(40) Unclassified(3253) Glomerellales(4) Pezizales(787) Boletales(104) Atheliales(2) Russulales(2) Chaetothyriales(215) Agaricales(81) Sordariales(29) Microascales(3) Hymenochaetales(14) Filobasidiales(16) Capnodiales(548) Calosphaeriales(3) Trechisporales(21) Botryosphaeriales(4) Coniochaetales(84) Environmental(10) Corticiales(2) Dothideales(4) Lecanorales(3) Peltigerales(27) Unknown(17) Helotiales(8972) Hypocreales(179) Tremellales(285) Gloeophyllales(1) Diaporthales(2) Polyporales(7) Umbilicariales(1) 	Atheliaceae(2) Sarcosomataceae(5) Mycosphaerellaceae(51) Herpotrichiellaceae(159) Discinaceae(9) Plectosphaerellaceae(1) Massariaceae(472) Sporormiaceae(1) Morchellaceae(40) Cordycipitaceae(34) Tapinellaceae(1) Phanerochaetaceae(1) Davidiellaceae(430) Hyaloscyphaceae(556) Gloeophyllaceae(1) Tuberaceae(1) Phaeosphaeriaceae(120) Stereocaulaceae(3) Coniochaetaceae(90) Marasmiaceae(6) Myxotrichaceae(1591) Leotiaceae(2) Lobariaceae(28) Erysiphaceae(4) Unknown(762) Amylocorticiaceae(1) Helotiaceae(766) Glomerellaceae(4) Teratosphaeriaceae(31) Dissoconiaceae(16) Cyttariaceae(3) Valsaceae(2) Helvellaceae(1) Boletaceae(1) Corticiaceae(5) Tubeufiaceae(8) Coniophoraceae(83) Sclerotiniaceae(107) Ascobolaceae(28) Onygenaceae(11) Environmental(441) Ascodesmidaceae(26) Microascaceae(3) Montagnulaceae(482) Pluteaceae(5) Unclassified(9803) Leptosphaeriaceae(522) Botryosphaeriaceae(4) Pleosporaceae(104) Chaetomiaceae(29) Rhytismataceae(7) Testudinaceae(157) Serpulaceae(9) Halosphaeriaceae(1) Tremellaceae(284) Didymellaceae(684) Lyophyllaceae(43) Hypocreaceae(68) Calosphaeriaceae(3) Shiraiaceae(278) Tricholomataceae(2) Clavicipitaceae(13) Pyronemataceae(576) Dothideaceae(5) Geoglossaceae(30) Agyriaceae(41) Bionectriaceae(5) Nectriaceae(24) Umbilicariaceae(1) Pezizaceae(31) Auriculariaceae(3) Sarcoscyphaceae(1) Trechisporaceae(21) Ajellomycetaceae(146) Bulgariaceae(197) Orbiliaceae(31) 	Neofabraea(3) Clavariopsis(1) Trizodia(1) Tapinella(1) Septoria(1) Dictyosporium(71) Auricularia(6) Phaeosphaeria(125) Cordyceps(16) Monacrosporium(5) Helminthosporium(128) Helicoma(3) Acremonium(8) Peniophorella(1) Ascocoryne(1) Leucostoma(1) Environmental(796) Gibberella(19) Hymenoscyphus(224) Hygrocybe(1) Termitomyces(34) Capnobotryella(24) Arthrobotrys(5) Botryotinia(9) Collophora(7316) Leotia(2) Phoma(773) Flammulina(2) Unknown(1430) Hyphodermella(1) Anguillospora(20) Exophiala(21) Ulospora(2) Pseudallescheria(1) Bionectria(5) Lentinula(1) Hortaea(12) Symbiotaphrina(14) Dactylella(1) Cladophialophora(12) Hyaloscypha(671) Capronia(145) Botryosphaeria(4) Sistotrema(4) Acidomyces(2) Coniophora(83) Unclassified(819) Tremella(1) Catenulostroma(1) Otidea(10) Geopora(4) Dibaeis(1) Cyttaria(3) Gyromitra(4) Chaetomium(6) Lophium(4) Teratosphaeria(5) Erysiphe(2) Trapelia(34) Bulgaria(458) Isaria(14) Alternaria(1) Sarcinomyces(2) Massaria(484) Ajellomyces(153) Leptosphaeria(530) Beauveria(3) Sclerotinia(99) Gremmeniella(18) Cephaliophora(19) Coniosporium(498) Mycosphaerella(14) Geomyces(1584) Candida(7) Coniochaeta(96) Lecanicillium(2) Passalora(5) Cenococcum(154) Tubeufia(3) Stereocaulon(3) Rhizina(1) Gloeophyllum(1) Didymella(1) Meria(18) Pseudocercosporella(2) Aphanoascus(9) Paraconiothyrium(482) Verpa(33) Oxyporus(1) Fusarium(4) Jattaea(1) Volvariella(6) Chaetomella(44) Lecophagus(37) Pyronema(19) Plectania(2) Scutellinia(27) Ascobolus(30) Preussia(145) Infundichalara(4) Dothidea(13) Pleospora(2) Pycnoporus(1) Pezoloma(2) Petriella(2) Epibryon(5) Marchandiomyces(6) Kionochaeta(1) Neobulgaria(7) Phaeoacremonium(3) Aquaphila(3) Shiraia(310) Trichoglossum(3) Dendrographa(1) Rhizochaete(1) Resinicium(20) Lophiostoma(18) Marasmius(1) Crocicreas(1) Microscypha(2) Serpula(9) Trametes(4) Cochliobolus(19) Zymoseptoria(3) Hypocrea(71) Umbilicaria(2) Tricholoma(1) Xylogone(1) Trechispora(23) Meliniomyces(395) Athelia(2) Mrakia(3) Dissoconium(17) Colletotrichum(2) Monilinia(1) Stachybotrys(4) Scytalidium(134) Tuber(1) Pyrenochaeta(7) Placopsis(1) Blumeria(2) Cryptococcus(18) Antrodiella(1) Melastiza(6) Cyphellophora(1) Chalara(8) Leohumicola(14) Cladosporium(432) Peziza(19) 
OTU2	Chytridiomycota(43) Blastocladiomycota(2) Unclassified(14214) Environmental(805) Ascomycota(9) 	Unclassified(14215) Unknown(4) Chytridiomycetes(39) Pezizomycetes(9) Environmental(804) Blastocladiomycetes(2) 	Blastocladiales(2) Rhizophydiales(36) Mortierellales(13917) Pezizales(9) Endogonales(135) Unclassified(9) Mucorales(5) Spizellomycetales(2) Environmental(847) Kickxellales(111) 	Spizellomycetaceae(2) Olpidiaceae(5) Environmental(847) Mortierellaceae(13917) Unclassified(5) Kickxellaceae(111) Rhizophydiaceae(36) Sarcosomataceae(9) Physodermataceae(1) Endogonaceae(135) Radiomycetaceae(5) 	Mortierella(13910) Urophlyctis(1) Rhizophlyctis(2) Spiromyces(111) Olpidium(5) Endogone(135) Rhizophydium(36) Environmental(854) Unclassified(14) Hesseltinella(5) 
OTU3	Environmental(4) Ascomycota(9991) Basidiomycota(4) 	Leotiomycetes(22) Sordariomycetes(9829) Unknown(1) Eurotiomycetes(1) Pezizomycetes(12) Agaricomycetes(2) Tremellomycetes(2) Unclassified(4) Orbiliomycetes(1) Environmental(4) Dothideomycetes(121) 	Russulales(1) Glomerellales(1526) Pezizales(13) Unclassified(48) Diaporthales(28) Ophiostomatales(7) Helotiales(22) Magnaporthales(4) Xylariales(631) Verrucariales(1) Hypocreales(5600) Unknown(61) Dothideales(3) Orbiliales(1) Environmental(37) Coniochaetales(875) Pleosporales(52) Capnodiales(60) Cystofilobasidiales(2) Calosphaeriales(6) Microascales(41) Hymenochaetales(1) Sordariales(979) 	Plectosphaerellaceae(1499) Xylariaceae(1) Unclassified(1040) Discinaceae(1) Cordycipitaceae(422) Cryphonectriaceae(20) Sordariaceae(84) Cystofilobasidiaceae(2) Microascaceae(10) Montagnulaceae(4) Sarcosomataceae(2) Mycosphaerellaceae(1) Coniochaetaceae(896) Halosphaeriaceae(18) Davidiellaceae(25) Diatrypaceae(5) Verrucariaceae(1) Leptosphaeriaceae(8) Ophiocordycipitaceae(113) Chaetomiaceae(892) Hyaloscyphaceae(5) Ophiostomataceae(10) Clavicipitaceae(228) Teratosphaeriaceae(12) Valsaceae(5) Pyronemataceae(6) Dothideaceae(1) Helotiaceae(10) Dothioraceae(1) Unknown(180) Calosphaeriaceae(30) Glomerellaceae(197) Hypocreaceae(309) Ceratocystidaceae(11) Magnaporthaceae(4) Amphisphaeriaceae(474) Environmental(17) Orbiliaceae(1) Pezizaceae(1) Bionectriaceae(976) Nectriaceae(2477) 	Ophiostoma(4) Conoideocrella(1) Beauveria(44) Verrucaria(1) Arthrinium(1) Leohumicola(3) Reticulascus(3) Myrothecium(279) Peziza(1) Cladosporium(25) Nectria(23) Meliniomyces(6) Teratosphaeria(31) Sarocladium(4) Colletotrichum(33) Pleurostomophora(28) Isaria(91) Ceratosphaeria(1) Leptosphaeria(31) Stachybotrys(504) Acidomyces(6) Unclassified(60) Endothia(1) Ceratocystis(11) Chaetomium(887) Phomopsis(3) Bionectria(977) Pseudallescheria(14) Hypoxylon(1) Verticillium(100) Resinicium(1) Calosphaeria(6) Natantispora(11) Symbiotaphrina(1) Hortaea(3) Paecilomyces(13) Hypocrea(311) Hyaloscypha(10) Elaphocordyceps(223) Petriella(1) Hericium(1) Corollospora(1) Mariannaea(3) Kionochaeta(1) Phoma(1) Geosmithia(3) Phaeoacremonium(2) Plectosphaerella(1366) Unknown(618) Claviceps(5) Metarhizium(46) Ophiocordyceps(21) Anguillospora(3) Scutellinia(1) Plectania(2) Pestalotiopsis(464) Gibberella(94) Hymenoscyphus(1) Environmental(201) Ceratocystiopsis(3) Lulworthia(1) Dothidea(1) Neurospora(75) Gaeumannomyces(1) Paraconiothyrium(4) Camarops(3) Cystofilobasidium(2) Cordyceps(206) Glomerella(169) Fusarium(1982) Aureobasidium(1) Monacrosporium(1) Pyronema(4) Acremonium(28) Chaetomella(1) Microascus(1) Sirococcus(1) Lecanicillium(23) Magnaporthe(4) Coniochaeta(899) Pesotum(1) 
OTU4	Blastocladiomycota(5) Unclassified(18) Basidiomycota(38) Chytridiomycota(124) Unknown(71) Environmental(5725) Ascomycota(46) 	Saccharomycetes(3) Unknown(71) Eurotiomycetes(39) Dothideomycetes(4) Environmental(5725) Blastocladiomycetes(5) Agaricomycetes(14) Unclassified(142) Tremellomycetes(24) 	Pleosporales(2) Mortierellales(1) Auriculariales(11) Saccharomycetales(3) Verrucariales(10) Unknown(73) Chaetothyriales(25) Agaricales(2) Blastocladiales(5) Environmental(5727) Corticiales(1) Endogonales(17) Tremellales(24) Unclassified(126) 	Mortierellaceae(1) Environmental(5726) Chaetothyriaceae(25) Phaeosphaeriaceae(2) Unclassified(148) Corticiaceae(1) Endogonaceae(17) Physodermataceae(1) Clavariaceae(2) Tremellaceae(21) Unknown(73) Verrucariaceae(10) 	Placidium(1) Paraliomyces(2) Sistotrema(1) Unclassified(140) Phaeosphaeria(2) Ramariopsis(2) Environmental(5728) Knufia(31) Asterotremella(24) Unknown(74) Endogone(17) Mortierella(1) Candida(3) Urophlyctis(1) 
OTU5	Basidiomycota(5127) Ascomycota(29) 	Pezizomycetes(3) Dothideomycetes(5) Agaricomycetes(5104) Tremellomycetes(17) Leotiomycetes(17) Unclassified(7) Sordariomycetes(3) 	Unknown(36) Auriculariales(562) Helotiales(9) Hypocreales(3) Polyporales(345) Pezizales(3) Unclassified(26) Russulales(964) Atheliales(6) Erythrobasidiales(1) Boletales(1308) Cantharellales(1) Agaricales(1842) Capnodiales(1) Amylocorticiales(3) Cystofilobasidiales(2) Filobasidiales(16) Trechisporales(12) Corticiales(5) Environmental(11) 	Pyronemataceae(1) Strophariaceae(190) Polyporaceae(180) Tricholomataceae(451) Hypocreaceae(1) Hericiaceae(1) Russulaceae(7) Suillaceae(2) Lyophyllaceae(248) Unknown(127) Amylocorticiaceae(2) Meruliaceae(6) Ganodermataceae(14) Helotiaceae(6) Trechisporaceae(13) Bulgariaceae(1) Environmental(28) Coniophoraceae(198) Auriculariaceae(256) Corticiaceae(12) Lycoperdaceae(95) Nectriaceae(1) Boletaceae(24) Morchellaceae(2) Agaricaceae(3) Auriscalpiaceae(6) Tapinellaceae(59) Unclassified(959) Pluteaceae(10) Atheliaceae(9) Physalacriaceae(7) Cystofilobasidiaceae(1) Pleurotaceae(121) Stereaceae(5) Hygrophoraceae(3) Myxotrichaceae(7) Marasmiaceae(18) Serpulaceae(1617) Entolomataceae(457) Hyaloscyphaceae(2) Ophiocordycipitaceae(1) Phanerochaetaceae(5) 	Leucoagaricus(1) Fusarium(1) Boletus(27) Clitocybe(86) Volvariella(28) Auricularia(283) Sarcomyxa(1) Verpa(2) Cystofilobasidium(1) Tapinella(59) Calvatia(7) Rhodotorula(1) Stereum(2) Unknown(510) Flammulina(3) Lyophyllum(4) Ophiocordyceps(1) Hyphodermella(7) Leucogyrophana(7) Trichaptum(29) Hericium(4) Galerina(39) Phoma(3) Marchandiomyces(20) Ganoderma(18) Fibroporia(156) Tubaria(8) Capnobotryella(1) Hygrocybe(3) Termitomyces(19) Heterobasidion(1) Crepidotus(1) Campanella(2) Scutellinia(1) Ceriporia(94) Environmental(564) Lepidostroma(12) Unclassified(614) Coniophora(209) Cortinarius(5) Tricholoma(210) Fomitopsis(2) Serpula(1628) Hypocrea(1) Panus(2) Trametes(7) Hyaloscypha(4) Lactarius(1) Lentinula(6) Resinicium(28) Coniosporium(1) Geomyces(7) Pluteus(2) Pleurotus(180) Cryptococcus(16) Pseudohydnum(1) Antrodiella(4) Antrodia(160) Lycoperdon(2) Meliniomyces(5) Trechispora(31) Suillus(2) Bulgaria(1) Mrakia(1) Bjerkandera(5) Athelia(8) Pachylepyrium(6) Paragyrodon(1) 
OTU6	Ascomycota(8) Environmental(16) Unclassified(15) Blastocladiomycota(1) Basidiomycota(1) Chytridiomycota(4949) 	Unclassified(130) Monoblepharidomycetes(4835) Eurotiomycetes(2) Environmental(16) Blastocladiomycetes(1) Dothideomycetes(6) 	Onygenales(2) Unclassified(34) Mucorales(3) Erythrobasidiales(1) Environmental(15) Entomophthorales(11) Blastocladiales(1) Monoblepharidales(4918) Capnodiales(5) 	Teratosphaeriaceae(5) Monoblepharidaceae(4806) Unclassified(146) Environmental(15) Pilobolaceae(3) Olpidiaceae(1) Basidiobolaceae(11) Physodermataceae(1) Gymnoascaceae(2) 	Monoblepharella(4784) Environmental(21) Pilobolus(3) Teratosphaeria(5) Unclassified(148) Acidomyces(1) Monoblepharis(12) Basidiobolus(11) Gymnoascoideus(2) Urophlyctis(1) Olpidium(1) Rhodotorula(1) 
OTU7	Ascomycota(13) Basidiomycota(4107) 	Agaricomycetes(103) Leotiomycetes(2) Tremellomycetes(3976) Unclassified(28) Sordariomycetes(6) Dothideomycetes(5) 	Polyporales(5) Unclassified(36) Tremellales(2898) Russulales(2) Atheliales(1) Boletales(39) Corticiales(1) Unknown(4) Agaricales(38) Cystofilobasidiales(10) Capnodiales(1) Pleosporales(3) Hypocreales(6) Filobasidiales(1071) Auriculariales(5) 	Atheliaceae(3) Hypocreaceae(2) Pluteaceae(5) Tremellaceae(2715) Unknown(34) Lyophyllaceae(1) Montagnulaceae(1) Strophariaceae(5) Tricholomataceae(17) Massariaceae(1) Unclassified(1321) Auriculariaceae(3) Hyaloriaceae(2) Phanerochaetaceae(3) Bionectriaceae(3) Myxotrichaceae(2) Environmental(1) Serpulaceae(1) 	Acremonium(1) Peniophorella(1) Volvariella(1) Glaciozyma(25) Boletus(2) Trichosporon(130) Hannaella(2) Tricholoma(6) Sarcomyxa(3) Auricularia(3) Paraconiothyrium(1) Tremella(14) Unclassified(2721) Hypocrea(2) Trametes(1) Serpula(1) Kockovaella(1) Bionectria(3) Hyphodermella(3) Pluteus(6) Geomyces(2) Shiraia(1) Unknown(51) Galerina(3) Marchandiomyces(14) Cryptococcus(1097) Pseudohydnum(2) Massaria(1) Pycnoporus(1) Hygrocybe(3) Derxomyces(1) Filobasidiella(1) Mrakia(8) Environmental(2) Ceriporia(4) Athelia(2) 
OTU8	Ascomycota(3685) Basidiomycota(1) 	Eurotiomycetes(3671) Sordariomycetes(7) Unclassified(1) Leotiomycetes(1) Agaricomycetes(1) Dothideomycetes(3) Pezizomycetes(2) 	Boletales(1) Unclassified(1) Onygenales(1) Pezizales(2) Coniochaetales(1) Verrucariales(57) Hypocreales(4) Helotiales(1) Pleosporales(3) Chaetothyriales(3611) Eurotiales(2) Sordariales(2) 	Chaetothyriaceae(40) Onygenaceae(1) Environmental(2) Pyronemataceae(1) Unclassified(138) Coniochaetaceae(1) Herpotrichiellaceae(3436) Hypocreaceae(3) Hyaloscyphaceae(1) Trichocomaceae(2) Boletaceae(1) Unknown(2) Didymellaceae(1) Verrucariaceae(57) 	Exophiala(214) Unknown(34) Sagenomella(1) Marchandiomyces(1) Phoma(1) Penicillium(1) Otidea(1) Fonsecaea(4) Verrucaria(57) Aphanoascus(1) Epibryon(2) Unclassified(118) Cladophialophora(38) Hyaloscypha(1) Hypocrea(3) Capronia(3159) Environmental(2) Knufia(47) Coniochaeta(1) 
OTU9	Unknown(148) Blastocladiomycota(770) Ascomycota(1896) Chytridiomycota(51) Basidiomycota(32) Unclassified(140) Glomeromycota(239) Environmental(252) 	Tremellomycetes(14) Unclassified(438) Agaricomycetes(8) Entorrhizomycetes(3) Blastocladiomycetes(711) Environmental(68) Lecanoromycetes(7) Dothideomycetes(1492) Leotiomycetes(14) Glomeromycetes(176) Monoblepharidomycetes(41) Chytridiomycetes(2) Unknown(551) Sordariomycetes(2) Pezizomycetes(1) 	Platygloeales(2) Environmental(104) Botryosphaeriales(7) Filobasidiales(6) Capnodiales(2) Pleosporales(1825) Blastocladiales(713) Monoblepharidales(41) Agaricales(1) Cantharellales(1) Erythrobasidiales(1) Entorrhizales(3) Mucorales(105) Tremellales(9) Unclassified(309) Endogonales(1) Pezizales(1) Polyporales(2) Hypocreales(2) Auriculariales(1) Mortierellales(1) Rhizophydiales(2) Glomerales(181) Lecanorales(2) Unknown(199) Diversisporales(7) 	Pilobolaceae(2) Acaulosporaceae(5) Platygloeaceae(1) Unclassified(564) Tricholomataceae(1) Mycosphaerellaceae(2) Tremellaceae(3) Glomeraceae(202) Unknown(676) Environmental(159) Entorrhizaceae(3) Olpidiaceae(6) Mortierellaceae(1) Rhizophydiaceae(3) Monoblepharidaceae(41) Tuberaceae(1) Phaeosphaeriaceae(1443) Mucoraceae(4) Ophiocordycipitaceae(2) Endogonaceae(1) Physodermataceae(397) Hyaloriaceae(3) Scutellosporaceae(1) Botryosphaeriaceae(7) 	Bulgaria(1) Environmental(25) Entorrhiza(2) Rhizopus(1) Monoblepharis(29) Zymoseptoria(2) Derxomyces(5) Scytalidium(5) Mucor(3) Hypocrea(6) Guignardia(7) Olpidium(6) Endogone(1) Sporobolomyces(1) Tuber(1) Unclassified(3162) Cryptococcus(6) Funneliformis(12) Ophiocordyceps(2) Mortierella(1) Urophlyctis(72) Unknown(176) Coniosporium(2) 
OTU10	Ascomycota(15) Environmental(96) Unknown(2398) Basidiomycota(268) 	Unknown(2401) Agaricomycetes(260) Tremellomycetes(5) Dothideomycetes(9) Environmental(96) Pezizomycetes(6) 	Corticiales(11) Environmental(180) Boletales(45) Botryosphaeriales(3) Pezizales(6) Tremellales(6) Capnodiales(6) Cystofilobasidiales(2) Amylocorticiales(40) Auriculariales(3) Hymenochaetales(1) Cantharellales(56) Unknown(2418) 	Mycosphaerellaceae(6) Corticiaceae(11) Botryosphaeriaceae(3) Amylocorticiaceae(40) Unknown(2421) Cystofilobasidiaceae(2) Tremellaceae(2) Tapinellaceae(7) Environmental(96) Pyronemataceae(6) Unclassified(127) Botryobasidiaceae(56) 	Tapinella(7) Filobasidiella(2) Trichophaea(1) Amylocorticium(40) Environmental(98) Resinicium(1) Tsuchiyaea(1) Botryobasidium(65) Unknown(2418) Odonticium(4) Mycosphaerella(4) Unclassified(125) Sistotrema(3) Geopora(5) Cystofilobasidium(2) Verrucisporota(1) 
