Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Blastocladiomycota	Blastocladiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Chytridiomycota	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Fungi_incertae_sedis	Glomeromycota	Glomeromycota	Glomeromycota	Glomeromycota	Microsporidia	Neocallimastigomycota	Unknown	Unclassified	Environmental	
Taxonomy_intermediate	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Saccharomycotina	Taphrinomycotina	Taphrinomycotina	Taphrinomycotina	Taphrinomycotina																									Basidiomycota incertae sedis	Basidiomycota incertae sedis	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina	Ustilaginomycotina										Entomophthoromycotina	Kickxellomycotina	Kickxellomycotina	Kickxellomycotina	Mortierellomycotina	Mucoromycotina	Mucoromycotina	Zoopagomycotina						
Taxonomy_intermediate		Arthoniomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Geoglossomycetes	Laboulbeniomycetes	Laboulbeniomycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Leotiomycetes	Lichinomycetes	Lichinomycetes	Orbiliomycetes	Pezizomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Saccharomycetes	Archaeorhizomycetes	Neolectomycetes	Schizosaccharomycetes	Taphrinomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Dacrymycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Entorrhizomycetes	Wallemiomycetes															Agaricostilbomycetes	Agaricostilbomycetes	Atractiellomycetes	Tritirachiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Exobasidiomycetes	Ustilaginomycetes	Ustilaginomycetes	Blastocladiomycetes	Blastocladiomycetes	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	Monoblepharidomycetes									Archaeosporomycetes	Glomeromycetes	Glomeromycetes	Paraglomeromycetes		Neocallimastigomycetes
Taxonomy_intermediate									Dothideomycetidae	Dothideomycetidae	Dothideomycetidae	Pleosporomycetidae	Pleosporomycetidae	Pleosporomycetidae	Pleosporomycetidae	Chaetothyriomycetidae	Chaetothyriomycetidae	Chaetothyriomycetidae	Eurotiomycetidae	Eurotiomycetidae	Eurotiomycetidae	Mycocaliciomycetidae						Acarosporomycetidae	Lecanoromycetidae	Lecanoromycetidae	Ostropomycetidae	Ostropomycetidae	Ostropomycetidae	Ostropomycetidae											Hypocreomycetidae	Hypocreomycetidae	Hypocreomycetidae	Hypocreomycetidae	Sordariomycetidae	Sordariomycetidae	Sordariomycetidae	Sordariomycetidae	Sordariomycetidae	Sordariomycetidae	Sordariomycetidae	Sordariomycetidae	Xylariomycetidae																Agaricomycetidae	Agaricomycetidae	Agaricomycetidae	Agaricomycetidae	Agaricomycetidae	Phallomycetidae	Phallomycetidae	Phallomycetidae	Phallomycetidae								Classiculomycetes	Cystobasidiomycetes	Cystobasidiomycetes	Cystobasidiomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Mixiomycetes	Pucciniomycetes	Pucciniomycetes	Pucciniomycetes	Pucciniomycetes	Pucciniomycetes																																					
Taxonomy_order	Medeolariales	Arthoniales	Acrospermales	Botryosphaeriales	Microthyriales	Patellariales	Trypetheliales	Venturiales	Capnodiales	Dothideales	Myriangiales	Hysteriales	Jahnulales	Mytilinidiales	Pleosporales	Chaetothyriales	Pyrenulales	Verrucariales	Coryneliales	Eurotiales	Onygenales	Mycocaliciales	Geoglossales	Laboulbeniales	Pyxidiophorales	Candelariales	Umbilicariales	Acarosporales	Lecanorales	Peltigerales	Agyriales	Baeomycetales	Ostropales	Pertusariales	Helotiales	Eremithallales	Lichinales	Orbiliales	Pezizales	Koralionastetales	Lulworthiales	Meliolales	Phyllachorales	Trichosphaeriales	Glomerellales	Hypocreales	Melanosporales	Microascales	Boliniales	Calosphaeriales	Chaetosphaeriales	Coniochaetales	Diaporthales	Magnaporthales	Ophiostomatales	Sordariales	Xylariales	Saccharomycetales	Archaeorhizomycetales	Neolectales	Schizosaccharomycetales	Taphrinales	Auriculariales	Cantharellales	Corticiales	Gloeophyllales	Hymenochaetales	Polyporales	Russulales	Sebacinales	Thelephorales	Trechisporales	Agaricales	Amylocorticiales	Atheliales	Boletales	Jaapiales	Geastrales	Gomphales	Hysterangiales	Phallales	Dacrymycetales	Cystofilobasidiales	Filobasidiales	Holtermanniales	Tremellales	Entorrhizales	Wallemiales	Classiculales	Cystobasidiales	Erythrobasidiales	Naohideales	Heterogastridiales	Leucosporidiales	Microbotryales	Sporidiobolales	Mixiales	Helicobasidiales	Pachnocybales	Platygloeales	Pucciniales	Septobasidiales	Agaricostilbales	Spiculogloeales	Atractiellales	Tritirachiales	Ceraceosorales	Doassansiales	Entylomatales	Exobasidiales	Georgefischeriales	Malasseziales	Microstromatales	Tilletiales	Urocystales	Ustilaginales	Blastocladiales	Blastocladiales_incertae_sedis	Chytridiales	Cladochytriales	Lobulomycetales	Polychytriales	Rhizophydiales	Spizellomycetales	Monoblepharidales	Entomophthorales	Dimargaritales	Harpellales	Kickxellales	Mortierellales	Endogonales	Mucorales	Zoopagales	Archaeosporales	Diversisporales	Glomerales	Paraglomerales	Crustaceacida	Neocallimastigales	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1	0	0	0	0	0	0	99	6	0	0	0	0	291	266	0	12	0	146	59	0	6	0	0	0	0	0	4	4	1	0	0	0	102	0	0	0	158	0	1	0	0	0	190	848	0	31	0	1	0	564	117	10	9	193	33	68	0	0	17	0	784	4	14	0	0	8	3	0	0	0	44	0	1	20	0	0	0	0	0	0	13	132	0	133	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	2	9	0	0	2	55	0	7	1	2	0	148	4	78	5	0	2	16	339	22	240	20	1	245	19	5	0	4	308	628	931	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1	0	2	0	0	0	0	88	3	1	0	1	0	299	179	0	15	0	85	37	1	3	0	0	0	0	0	1	6	0	0	0	2	89	0	0	3	120	0	0	0	0	0	197	834	0	45	0	0	0	426	80	7	5	139	26	102	0	0	5	0	786	2	41	0	0	50	2	1	1	1	32	1	3	152	0	0	0	0	0	0	11	160	0	151	4	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	2	4	0	0	0	78	0	18	3	4	0	50	6	95	6	0	3	35	413	24	268	26	7	154	19	2	0	2	324	579	1169	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	1	0	0	0	0	130	4	0	0	2	0	330	310	0	21	0	139	46	0	11	0	0	0	0	0	4	3	2	0	0	1	101	0	0	1	149	0	1	0	0	0	190	859	0	32	0	2	0	555	58	4	8	176	27	77	0	0	12	3	725	9	92	0	3	11	5	1	0	1	54	2	3	45	0	0	0	0	0	0	24	157	0	135	4	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	3	2	0	0	1	46	0	2	0	6	0	114	14	81	8	0	3	6	364	27	159	26	0	188	17	3	0	3	329	545	1016	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	2	0	0	0	0	70	0	0	0	1	0	460	200	0	4	0	31	12	0	2	0	0	0	0	0	5	6	1	0	0	1	72	0	0	0	66	0	1	0	0	0	111	638	0	17	0	1	0	235	32	14	9	108	53	80	0	0	2	5	536	3	27	0	0	12	3	0	0	1	25	0	0	32	0	0	0	0	0	0	3	86	0	78	13	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	6	10	0	0	2	206	0	2	1	5	0	51	6	1311	81	0	1	12	185	27	126	16	7	166	144	1	0	1	434	821	807	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	39	2	0	0	0	0	301	104	0	3	0	44	13	0	1	0	0	0	0	0	6	1	0	0	0	0	42	0	1	1	96	0	0	0	0	0	65	996	0	10	0	1	0	197	46	8	3	50	14	93	0	1	1	9	380	0	30	1	1	13	3	0	4	0	91	0	2	13	0	0	0	0	0	0	3	61	0	56	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	34	4	1	0	0	296	0	2	0	2	0	68	1	1803	136	0	1	4	114	14	98	8	2	38	162	1	0	1	405	603	880	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	0	2	0	0	0	0	0	0	33	3	0	0	0	0	186	145	0	7	0	40	16	0	3	0	0	0	0	0	2	1	1	0	0	0	35	0	0	0	78	0	0	0	0	0	98	463	0	12	0	2	0	172	46	8	3	66	9	81	0	0	4	4	414	0	23	0	1	17	3	0	0	0	17	0	1	31	0	0	0	0	0	0	15	72	0	80	24	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	15	0	0	0	104	0	3	2	2	0	90	14	2233	21	0	3	5	236	34	103	12	7	46	24	1	0	0	247	1089	985	
