Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Unknown	Unclassified	Environmental	
Taxonomy_intermediate	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina			Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina
Taxonomy_intermediate	Dothideomycetes	Dothideomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Agaricomycetes	Agaricomycetes					
Taxonomy_subclass	Dothideomycetidae	Pleosporomycetidae	Chaetothyriomycetidae	Eurotiomycetidae	Mycocaliciomycetidae	Acarosporomycetidae	Lecanoromycetidae	Ostropomycetidae	Hypocreomycetidae	Sordariomycetidae	Xylariomycetidae	Agaricomycetidae	Phallomycetidae	Classiculomycetes	Cystobasidiomycetes	Microbotryomycetes	Mixiomycetes	Pucciniomycetes	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	106	283	275	204	0	0	10	1	1067	906	33	61	0	0	2	10	0	0	289	3442	811	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	89	294	194	122	0	0	7	0	1074	664	26	180	0	0	2	11	0	1	311	3536	989	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	127	330	328	185	0	0	7	3	1077	819	26	92	0	0	2	11	0	2	317	3269	905	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	66	445	203	43	0	0	14	2	768	411	53	54	0	0	7	11	0	1	409	4332	681	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	39	294	107	57	0	0	13	0	1065	311	14	94	0	0	0	4	0	0	367	4361	774	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	34	179	152	56	0	0	4	1	567	310	9	34	0	0	1	11	0	0	224	5111	807	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	77	375	95	107	0	0	0	1	428	133	6	853	0	0	6	21	0	0	218	4445	735	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	24	159	370	354	0	0	13	9	83	77	1	343	1	0	2	265	0	1	188	4564	1046	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	9	92	290	304	0	0	7	5	63	81	0	237	1	0	2	273	0	0	336	4435	1365	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	14	99	290	487	0	0	12	5	75	85	1	416	0	0	2	238	0	0	228	4448	1100	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	21	113	286	400	0	0	13	8	77	73	4	328	0	0	3	269	0	1	312	4547	1045	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	11	75	249	309	0	0	17	0	75	80	1	170	3	0	2	288	0	0	492	4784	944	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001_R1_001_prinseq_good.extendedFrags.fasta	16	117	266	414	0	0	27	3	88	101	1	272	0	0	1	205	0	1	385	4843	760	
