	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta
OTU1	6	5	5	2	3	2	2	113	41	2058	8384	8389	8132	4	6	6	3	5	2	2	3	5	5	4	3
OTU2	230	410	297	702	201	222	501	969	147	118	16	10	10	720	63	1399	162	891	67	1580	1850	2009	3533	4043	3886
OTU3	2240	2069	2491	304	146	109	921	5	18	2	1	4	8	1641	1509	1510	1224	1743	1433	728	887	830	201	216	232
OTU4	1229	1355	1360	311	396	489	2109	84	59	85	4	3	4	1934	984	2040	372	1539	805	1192	1165	1120	15	8	7
OTU5	1423	1387	1188	38	63	44	751	19	22	0	4	2	5	1325	1212	1040	399	1839	879	1232	1074	1045	68	51	44
OTU6	11	83	149	2255	1914	2375	448	32	33	3	10	1	2	516	855	408	965	165	845	66	53	54	364	308	305
OTU7	35	71	122	155	51	53	424	142	242	48	12	1	4	228	122	324	1549	368	239	1389	1268	1236	1314	1208	1264
OTU8	16	83	22	3428	1863	1621	38	74	2	2	5	4	5	13	145	17	87	31	144	3	1	2	1	1	2
OTU9	23	31	59	2	1	1	14	1612	2147	2140	81	125	124	0	2	0	3	3	2	1	1	1	1	1	2
OTU10	1091	574	757	267	244	217	256	13	2	1	4	0	0	414	193	364	152	343	181	101	145	124	25	18	35
OTU11	163	158	179	61	21	21	409	402	364	439	217	224	393	202	273	169	236	227	397	198	150	162	4	13	4
OTU12	58	60	50	12	15	10	155	23	1	0	2	3	1	137	591	157	97	220	321	683	845	820	34	30	24
OTU13	13	147	12	1	1994	1845	17	49	1	6	3	0	0	2	45	4	58	9	46	0	1	1	1	3	2
OTU14	298	203	243	7	5	3	34	1164	930	1095	72	55	105	11	3	7	1	6	5	1	2	0	0	0	0
OTU15	25	18	6	0	0	0	88	1210	1555	967	141	113	81	3	0	1	0	0	0	5	0	4	0	0	0
OTU16	0	5	5	3	0	2	39	56	122	22	0	1	6	17	18	30	72	33	51	200	211	219	889	881	800
OTU17	10	20	65	595	700	856	63	3	0	23	0	0	2	539	17	129	31	322	37	5	0	0	0	0	0
OTU18	6	87	18	640	981	836	5	30	10	9	1	0	0	1	75	4	19	13	98	0	3	3	76	63	85
OTU19	560	641	585	11	12	12	67	0	0	0	1	1	1	150	44	115	21	208	28	1	0	0	0	0	0
OTU20	30	34	44	16	3	4	72	0	0	2	0	2	0	155	196	115	795	143	323	30	50	32	12	14	14
OTU21	3	12	19	0	0	0	53	0	0	0	2	1	2	57	463	266	313	148	486	2	2	4	1	0	0
OTU22	153	170	125	140	92	76	81	12	1	0	0	0	0	65	179	55	48	75	166	121	93	120	10	17	17
OTU23	0	0	5	0	1	0	0	0	56	2	0	0	0	7	12	3	38	5	26	15	26	30	464	592	446
OTU24	1	23	19	0	3	4	103	0	0	0	4	3	1	44	333	55	497	54	515	0	13	20	1	0	0
OTU25	470	351	327	2	12	11	87	1	0	1	1	0	1	15	8	18	45	41	13	36	59	57	0	0	2
OTU26	1	0	4	0	0	0	0	0	42	3	4	0	1	2	0	0	0	1	2	0	30	43	499	371	447
OTU27	1	0	2	0	0	1	1	0	56	8	0	0	0	0	1	0	0	0	3	0	30	23	465	343	497
OTU28	78	94	111	5	0	2	71	96	50	71	11	11	9	30	96	52	44	34	83	149	145	138	15	10	12
OTU29	9	9	0	0	0	0	279	7	66	53	1	1	0	2	0	6	0	1	0	332	323	314	3	2	1
OTU30	1	0	0	0	0	0	1	189	163	190	180	253	245	0	0	1	0	1	0	1	0	0	0	0	1
OTU31	32	37	19	0	0	0	38	366	347	224	38	20	13	6	0	5	0	5	0	25	8	14	0	0	0
OTU32	1	0	0	0	1	1	0	0	55	0	0	0	0	0	1	0	0	0	1	0	30	28	364	335	315
OTU33	29	38	29	15	11	3	246	0	1	0	3	2	1	73	92	61	40	52	108	85	54	63	14	11	13
OTU34	0	0	0	0	0	0	2	296	376	295	27	23	22	0	0	0	0	0	0	0	0	0	0	0	0
OTU35	120	140	113	0	2	2	72	34	28	22	1	2	2	51	45	54	18	45	30	90	67	59	2	2	3
