Taxonomy_highest	Bryophyta	Marchantiophyta	Bacillariophyta		Anthocerotophyta		Chlorophyta	Chlorophyta		Cercozoa		Chlorophyta		Marchantiophyta		Bryophyta		Bryophyta	Chlorophyta	Bacillariophyta		Rhodophyta	Bryophyta		Rhodophyta	Chlorophyta	Bryophyta	Marchantiophyta				Rhodophyta	Bacillariophyta		Bryophyta		Bryophyta		Bacillariophyta	Cercozoa	Bryophyta	Chlorophyta	Rhodophyta	Chlorophyta	Anthocerotophyta		Unknown	Unclassified	Environmental	
Taxonomy_intermediate	Andreaeophytina															Bryophytina		Andreaeobryophytina					Bryophytina				Bryophytina								Takakiophytina		Sphagnophytina				Bryophytina					
Taxonomy_class	Andreaeopsida	Haplomitriopsida	Fragilariophyceae	Phaeophyceae	Anthocerotopsida	Raphidophyceae	Trebouxiophyceae	Mamiellophyceae	Xanthophyceae	Chlorarachniophyceae	Pelagophyceae	Chlorophyceae	Synurophyceae	Marchantiopsida	Mesostigmatophyceae	Tetraphidopsida	Chlorokybophyceae	Andreaeobryopsida	Nephroselmidophyceae	Coscinodiscophyceae	Coleochaetophyceae	Bangiophyceae	Polytrichopsida	Dinophyceae	Florideophyceae	Chlorodendrophyceae	Bryopsida	Jungermanniopsida	Haptophyceae	Klebsormidiophyceae	Chrysophyceae	Compsopogonophyceae	Bacillariophyceae	Eustigmatophyceae	Takakiopsida	Zygnemophyceae	Sphagnopsida	Charophyceae	Mediophyceae	Imbricatea	Oedipodiopsida	Ulvophyceae	Stylonematophyceae	Pedinophyceae	Leiosporocerotopsida	Glaucocystophyceae	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	2	316	0	0	2447	0	1190	0	0	1112	5	0	0	9	0	0	0	2	0	0	0	253	0	0	240	1	0	81	0	0	3178	81	0	40	0	0	1	0	0	244	0	2	2	0	402	392	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	1	246	0	0	2313	0	1318	0	0	1250	1	0	0	11	0	0	0	0	0	0	0	164	0	0	401	0	0	66	5	0	2565	102	0	44	0	0	2	0	0	226	0	7	4	0	895	379	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	2	343	0	0	2035	0	1288	0	0	1163	3	0	0	7	0	0	0	6	0	0	0	262	0	0	283	0	0	126	0	0	3098	114	0	97	0	0	0	0	0	214	0	1	0	0	665	293	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	24	0	0	75	0	321	0	0	267	1	0	0	62	19	0	0	0	0	0	0	20	0	0	663	0	0	623	0	0	553	5	0	11	0	0	0	0	0	222	0	0	0	0	7044	90	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	1	20	0	0	151	0	397	0	0	181	0	0	0	44	10	0	0	2	0	0	0	2	0	0	171	0	0	806	0	1	431	0	0	3	0	0	1	0	0	278	0	1	0	0	7444	56	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	1	14	0	0	118	0	490	0	0	142	1	0	0	46	6	0	0	1	0	0	0	6	0	0	197	0	0	984	0	0	354	2	0	7	0	0	0	0	0	213	0	1	0	0	7373	44	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1	5	89	20	0	1167	0	2214	0	0	1083	1	4	0	242	0	0	0	35	0	0	47	321	0	0	606	1	0	118	3	1	974	81	53	24	8	0	15	0	0	51	0	3	9	0	1990	834	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	8	11	0	612	0	78	0	0	935	47	0	0	2	0	0	0	0	0	0	0	0	0	0	990	2	0	5	0	0	22	112	7	1946	0	0	0	0	0	17	0	0	0	0	1845	3361	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	11	0	0	473	0	52	0	0	781	23	0	1	45	0	0	0	0	0	0	0	1	1	0	150	0	0	89	0	0	2	76	1	2454	1	0	0	0	0	3	0	0	1	0	1996	3839	0	
