Taxonomy_highest	Rhodophyta	Marchantiophyta	Marchantiophyta	Bacillariophyta	Anthocerotophyta	Bryophyta	Marchantiophyta	Bryophyta	Bryophyta	Bacillariophyta	Chlorophyta	Rhodophyta	Rhodophyta	Bryophyta		Anthocerotophyta	Cyanobacteria	Chlorophyta	Bacillariophyta	Chlorophyta	Chlorophyta	Marchantiophyta	Bryophyta	Chlorophyta	Cercozoa	Chlorophyta	Bryophyta		Marchantiophyta	Bacillariophyta		Bryophyta			Marchantiophyta	Chlorophyta	Bryophyta	Bacillariophyta	Cyanobacteria	Cyanobacteria		Cryptophyta	Chlorophyta	Cyanobacteria	Bacillariophyta	Anthocerotophyta	Rhodophyta		Bryophyta		Bryophyta		Marchantiophyta	Cyanobacteria	Bryophyta	Marchantiophyta		Bacillariophyta	Chlorophyta		Bacillariophyta	Bryophyta	Bryophyta			Rhodophyta		Marchantiophyta	Rhodophyta	Bacillariophyta			Marchantiophyta	Rhodophyta		Rhodophyta	Cyanobacteria	Marchantiophyta	Cryptophyta	Chlorophyta	Bryophyta	Rhodophyta	Anthocerotophyta	Bryophyta	Chlorophyta	Bacillariophyta	Chlorophyta	Bryophyta	Bryophyta	Chlorophyta	Chlorophyta	Cyanobacteria	Bryophyta	Bryophyta			Bryophyta	Marchantiophyta		Chlorophyta	Chlorophyta		Bacillariophyta	Rhodophyta	Bryophyta	Chlorophyta	Bryophyta	Rhodophyta	Rhodophyta	Chlorophyta	Euglenozoa		Bacillariophyta	Chlorophyta	Bryophyta	Euglenozoa				Bacillariophyta		Marchantiophyta	Rhodophyta	Chlorophyta	Chlorophyta	Chlorophyta		Chlorophyta	Unknown	Unclassified	Environmental	
Taxonomy_intermediate						Bryophytina		Bryophytina	Bryophytina					Takakiophytina									Bryophytina				Sphagnophytina					Bryophytina					Bryophytina												Bryophytina		Bryophytina				Bryophytina							Bryophytina	Bryophytina																		Andreaeophytina			Bryophytina				Bryophytina	Bryophytina				Bryophytina	Bryophytina			Bryophytina								Bryophytina		Andreaeobryophytina				Euglenida				Bryophytina	Euglenida												
Taxonomy_intermediate	Florideophyceae	Jungermanniopsida	Jungermanniopsida	Mediophyceae	Anthocerotopsida	Bryopsida	Marchantiopsida	Bryopsida	Oedipodiopsida	Bacillariophyceae	Trebouxiophyceae	Bangiophyceae	Florideophyceae	Takakiopsida	Synurophyceae	Anthocerotopsida		Chlorophyceae	Coscinodiscophyceae	Mamiellophyceae	Chlorodendrophyceae	Marchantiopsida	Bryopsida	Chlorophyceae	Imbricatea	Trebouxiophyceae	Sphagnopsida	Eustigmatophyceae	Haplomitriopsida	Bacillariophyceae	Synurophyceae	Bryopsida	Xanthophyceae	Haptophyceae	Marchantiopsida	Ulvophyceae	Bryopsida	Fragilariophyceae			Phaeophyceae		Mamiellophyceae		Coscinodiscophyceae	Leiosporocerotopsida	Florideophyceae	Phaeophyceae	Tetraphidopsida	Pelagophyceae	Polytrichopsida	Zygnemophyceae	Jungermanniopsida		Bryopsida	Jungermanniopsida	Haptophyceae	Coscinodiscophyceae		Dinophyceae	Bacillariophyceae	Bryopsida	Bryopsida	Raphidophyceae	Chlorokybophyceae	Stylonematophyceae	Klebsormidiophyceae	Jungermanniopsida	Florideophyceae	Coscinodiscophyceae	Phaeophyceae	Haptophyceae	Haplomitriopsida	Compsopogonophyceae	Haptophyceae	Bangiophyceae		Marchantiopsida		Ulvophyceae	Andreaeopsida	Bangiophyceae	Anthocerotopsida	Bryopsida	Pedinophyceae	Mediophyceae	Chlorophyceae	Bryopsida	Bryopsida	Trebouxiophyceae	Mamiellophyceae		Bryopsida	Bryopsida	Coleochaetophyceae	Zygnemophyceae	Bryopsida	Jungermanniopsida	Synurophyceae	Ulvophyceae		Glaucocystophyceae	Mediophyceae	Florideophyceae	Bryopsida	Chlorophyceae	Andreaeobryopsida	Florideophyceae	Florideophyceae	Ulvophyceae		Chrysophyceae	Bacillariophyceae	Pedinophyceae	Bryopsida			Xanthophyceae	Dinophyceae	Coscinodiscophyceae	Charophyceae	Jungermanniopsida	Florideophyceae	Trebouxiophyceae	Pedinophyceae	Ulvophyceae	Mesostigmatophyceae	Ulvophyceae
Taxonomy_intermediate		Jungermanniidae	Pelliidae	Biddulphiophycidae	Dendrocerotidae	Dicranidae	Marchantiidae	Bryidae		Bacillariophycidae						Anthocerotidae			Thalassiosirophycidae			Marchantiidae	Dicranidae						Haplomitriidae	Bacillariophycidae		Diphysciidae			Marchantiidae		Funariidae	Fragilariophycidae							Rhizosoleniophycidae								Metzgeriidae		Dicranidae	Pelliidae		Coscinodiscophycidae			Bacillariophycidae	Buxbaumiidae	Bryidae					Jungermanniidae		Chaetocerotophycidae			Treubiidae					Blasiidae					Notothylidae	Bryidae		Lithodesmiophycidae		Dicranidae	Bryidae				Bryidae	Bryidae			Bryidae	Pelliidae					Biddulphiophycidae		Dicranidae				Corallinophycidae				Eunotiophycidae		Bryidae					Chaetocerotophycidae		Jungermanniidae						
Taxonomy_order	Palmariales	Ptilidiales	Pelliales	Hemiaulales	Dendrocerotales	Dicranales	Lunulariales	Hedwigiales	Oedipodiales	Cymbellales	Prasiolales	Bangiales	Rhodymeniales	Takakiales	Ochromonadales	Anthocerotales	Stigonematales	Chlamydomonadales	Thalassiosirales	Monomastigales	Chlorodendrales	Marchantiales	Pottiales	Sphaeropleales	Euglyphida	Microthamniales	Sphagnales	Eustigmatales	Calobryales	Naviculales	Parmales	Diphysciales	Tribonematales	Pavlovales	Sphaerocarpales	Ignatiales	Funariales	Fragilariales	Nostocales	Pleurocapsales	Fucales	Cryptomonadales	Dolichomastigales	Prochlorales	Rhizosoleniales	Leiosporocerotales	Gigartinales	Ectocarpales	Tetraphidales	Pelagomonadales	Polytrichales	Zygnematales	Metzgeriales	Chroococcales	Bryoxiphiales	Pallaviciniales	Phaeocystales	Coscinodiscales	Pyramimonadales	Peridiniales	Bacillariales	Buxbaumiales	Hookeriales	Chattonellales	Chlorokybales	Stylonematales	Klebsormidiales	Porellales	Gelidiales	Chaetocerotales	Laminariales	Isochrysidales	Treubiales	Compsopogonales	Prymnesiales	Porphyridiales	Gloeobacterales	Blasiales	Pyrenomonadales	Ulotrichales	Andreaeales	Cyanidiales	Notothyladales	Bartramiales	Marsupiomonadales	Lithodesmiales	Chlorosarcinales	Grimmiales	Splachnales	Chlorellales	Mamiellales	Oscillatoriales	Rhizogoniales	Hypnales	Coleochaetales	Desmidiales	Bryales	Fossombroniales	Synurales	Chlorocystidales	Prasinococcales	Glaucocystales	Eupodiscales	Gracilariales	Archidiales	Chaetophorales	Andreaeobryales	Halymeniales	Corallinales	Bryopsidales	Euglenales	Chromulinales	Eunotiales	Scourfieldiales	Orthotrichales	Eutreptiales	Peronosporales	Vaucheriales	Gymnodiniales	Leptocylindrales	Charales	Jungermanniales	Ceramiales	Ctenocladales	Pedinomonadales	Ulvales	Mesostigmatales	Acrosiphoniales	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	1	0	0	0	0	0	218	70	0	0	0	0	0	0	1031	2	0	0	0	38	75	0	59	0	81	0	161	1	0	0	0	0	0	27	2	37	8	1	1	0	73	0	2	0	251	9	0	0	37	1	19	0	0	0	0	0	253	2	0	0	0	0	0	81	0	0	0	64	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	1497	0	49	0	0	0	3	171	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	2780	0	0	0	0	1190	0	0	0	0	0	0	2	70	0	0	933	524	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	2	0	0	0	0	0	223	52	0	0	0	0	0	0	1158	0	0	0	0	60	75	0	78	0	102	0	174	1	0	0	0	0	0	0	1	84	3	0	0	0	51	0	4	0	190	11	0	0	44	0	174	0	0	0	0	0	164	2	0	1	0	0	0	66	0	0	0	56	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	2	1469	0	355	0	0	0	0	320	0	0	1	0	0	0	0	0	0	0	0	0	0	8	5	2160	0	0	0	0	1318	0	0	0	0	0	0	7	59	0	0	794	570	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	0	247	56	0	0	0	0	0	0	1078	6	0	0	0	20	74	0	62	0	114	0	196	1	0	0	0	0	0	0	2	143	8	0	0	0	33	0	0	0	255	7	0	0	97	0	37	0	0	0	0	0	262	1	0	0	0	0	0	126	0	0	0	88	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	1298	0	276	0	2	0	0	256	0	2	7	0	0	0	0	0	0	0	0	0	0	3	0	2634	0	0	0	0	1288	0	0	0	0	0	0	1	46	0	0	693	429	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	0	28	3	0	0	0	0	0	0	252	0	0	0	0	2	12	0	1	0	5	0	54	0	0	0	0	0	0	0	0	181	12	0	12	0	19	0	0	0	6	62	0	0	11	0	51	0	0	0	0	0	20	1	0	0	0	19	0	623	0	0	0	18	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	18	61	0	6692	0	0	0	0	626	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	467	0	1	0	0	321	0	0	0	0	0	0	0	217	0	0	46	135	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	1	0	0	0	0	0	17	2	0	0	0	0	0	0	162	2	0	0	0	4	16	0	0	0	0	0	54	0	0	0	0	0	0	1	1	76	17	0	10	0	15	0	0	0	6	44	0	0	3	0	1903	0	0	0	0	0	2	0	0	0	0	10	0	806	0	0	0	14	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	140	0	5327	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	357	0	0	0	0	397	0	0	0	0	0	0	1	276	0	0	27	121	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	132	1	0	0	0	3	8	0	0	0	2	0	38	0	0	0	0	0	0	0	1	80	10	0	8	0	15	0	0	0	3	46	0	0	7	0	1725	0	0	0	0	0	6	0	0	1	0	6	0	984	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	104	0	5455	0	0	0	0	189	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	309	0	0	0	0	490	0	0	0	0	0	0	0	213	0	0	20	105	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	15	5	0	0	0	0	107	94	0	0	53	0	10	0	897	35	0	0	4	79	164	0	25	8	81	1	157	0	118	0	0	0	0	2	5	580	12	1	0	0	181	0	9	0	70	242	0	47	21	0	182	0	0	0	0	0	321	7	0	1	0	0	0	118	0	0	0	18	0	0	1	0	0	0	0	0	10	0	0	5	0	0	0	0	0	0	823	0	826	0	51	0	3	74	1	1	8	0	0	0	0	0	0	0	0	0	0	23	3	679	0	0	0	0	2214	0	0	0	0	0	20	3	32	0	0	361	1192	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	690	0	0	0	0	13	24	0	71	0	111	0	9	0	0	0	0	0	0	19	0	202	8	1	0	0	210	0	0	0	7	2	0	0	1924	0	46	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	152	0	872	0	22	37	0	47	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	78	0	0	0	2	0	0	0	15	0	0	1902	3482	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	604	0	0	0	0	9	1	0	68	1	76	0	0	0	0	0	0	0	2	0	0	382	54	0	0	0	277	0	1	0	11	45	0	0	2424	0	15	0	0	0	0	0	1	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	245	0	17	0	30	8	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	52	0	0	0	0	0	0	0	1	1	0	1561	3990	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	13	0	705	0	3	0	0	0	2	0	65	0	85	0	0	0	0	0	0	0	0	31	0	70	0	0	0	0	160	0	0	0	14	1	0	0	2295	0	5	0	0	0	0	0	2	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	29	0	18	0	3	91	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	78	0	0	0	0	0	0	0	0	0	0	3818	2431	0	
