Taxonomy_highest	Marchantiophyta	Chlorophyta	Bryophyta	Cercozoa	Bacillariophyta	Cryptophyta	Rhodophyta	Anthocerotophyta	Cyanobacteria	Euglenozoa	Unknown	Unclassified	Environmental	
Taxonomy_phylum	Marchantiophyta	Chlorophyta	Bryophyta	Cercozoa	Bacillariophyta	Cryptophyta	Rhodophyta	Anthocerotophyta	Cyanobacteria	Euglenozoa	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	1	3808	261	0	3183	1	0	2	188	0	2213	343	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3796	419	0	2568	0	0	4	671	8	2172	362	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3414	300	0	3108	0	0	0	499	3	2413	263	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	564	732	0	553	12	0	0	7012	18	1030	79	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	611	223	0	436	10	1	0	7398	25	1249	47	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	474	246	0	356	8	0	0	7338	18	1518	42	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	6	2306	1011	0	1081	0	1	30	1832	23	2994	716	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	2	1564	1001	0	22	0	0	11	618	0	3436	3346	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	1257	202	0	2	0	1	1	973	0	3732	3832	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3425	218	0	2	0	0	13	265	0	3722	2355	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	8975	17	0	5	0	0	0	82	0	590	331	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	9070	11	0	5	0	0	0	29	0	621	264	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	8808	12	0	8	0	0	0	30	0	963	179	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	7	2542	739	0	1606	0	2	0	1246	47	3574	237	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3044	64	0	1764	3	0	0	2979	44	1768	334	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	6	2062	1428	0	1641	1	0	1	1516	44	3073	228	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	1	1105	179	0	1106	4	0	3	5423	46	1077	1056	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	3178	907	0	1583	0	0	0	1157	44	2941	190	0	
