Taxonomy_highest	Bacillariophyta	Anthocerotophyta	Rhodophyta	Bacillariophyta	Bryophyta	Bacillariophyta	Bryophyta	Marchantiophyta	Marchantiophyta	Bryophyta	Marchantiophyta	Bacillariophyta	Marchantiophyta	Marchantiophyta	Bacillariophyta	Anthocerotophyta	Bacillariophyta	Bacillariophyta	Marchantiophyta	Anthocerotophyta	Marchantiophyta	Bryophyta	Bacillariophyta	Bryophyta	Bacillariophyta	Unknown	Unclassified	Environmental	
Taxonomy_intermediate					Bryophytina		Bryophytina			Bryophytina												Bryophytina		Bryophytina	
Taxonomy_intermediate	Mediophyceae	Anthocerotopsida	Florideophyceae	Bacillariophyceae	Bryopsida	Coscinodiscophyceae	Bryopsida	Marchantiopsida	Haplomitriopsida	Bryopsida	Marchantiopsida	Coscinodiscophyceae	Haplomitriopsida	Jungermanniopsida	Coscinodiscophyceae	Anthocerotopsida	Coscinodiscophyceae	Bacillariophyceae	Jungermanniopsida	Anthocerotopsida	Jungermanniopsida	Bryopsida	Fragilariophyceae	Bryopsida	Mediophyceae
Taxonomy_subclass	Lithodesmiophycidae	Notothylidae	Corallinophycidae	Bacillariophycidae	Dicranidae	Chaetocerotophycidae	Bryidae	Marchantiidae	Treubiidae	Buxbaumiidae	Blasiidae	Coscinodiscophycidae	Haplomitriidae	Metzgeriidae	Thalassiosirophycidae	Dendrocerotidae	Rhizosoleniophycidae	Eunotiophycidae	Pelliidae	Anthocerotidae	Jungermanniidae	Diphysciidae	Fragilariophycidae	Funariidae	Biddulphiophycidae	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	385	38	0	173	0	0	0	0	0	0	1	2	0	0	2780	0	0	0	0	2	27	1	6318	273	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	399	60	0	337	0	0	0	0	0	0	0	0	0	0	2160	0	0	0	0	1	0	2	6766	275	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	448	20	0	259	0	0	0	0	0	0	0	6	0	0	2634	0	0	0	0	2	0	0	6403	228	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	84	2	0	658	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	8699	90	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	71	5	0	165	0	0	0	0	0	0	0	2	0	0	357	0	0	0	0	1	1	1	9344	53	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	0	0	43	3	0	192	0	0	0	0	0	0	0	1	0	0	309	0	0	0	0	1	0	0	9405	46	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001_R1_001_prinseq_good.extendedFrags.fasta	0	5	0	271	249	0	218	4	0	0	0	0	1	0	35	5	0	679	1	10	0	118	5	2	15	7690	692	0	
