Taxonomy_highest	Marchantiophyta	Chlorophyta	Bryophyta	Cercozoa	Bacillariophyta	Cryptophyta	Rhodophyta	Anthocerotophyta	Cyanobacteria	Euglenozoa	Unknown	Unclassified	Environmental	
Taxonomy_phylum	Marchantiophyta	Chlorophyta	Bryophyta	Cercozoa	Bacillariophyta	Cryptophyta	Rhodophyta	Anthocerotophyta	Cyanobacteria	Euglenozoa	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001.fasta	0	12216	820	0	9014	21	8	0	452	0	6704	865	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001.fasta	0	12044	1314	0	7525	20	9	0	1803	29	6333	1023	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001.fasta	0	11113	950	0	9026	15	13	0	1434	11	6837	701	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001.fasta	0	1809	2393	0	1600	30	1	0	20791	60	3151	265	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001.fasta	0	1990	725	0	1370	38	2	0	22091	56	3719	109	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001.fasta	0	1571	835	0	1028	34	6	0	21566	58	4927	75	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001.fasta	11	7786	2964	0	3074	27	9	413	5188	77	8367	2184	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_23S_ORCA_23S_S2_L001.fasta	0	4755	3194	0	66	0	1	0	1152	0	10626	10306	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_23S_ORCA_23S_S2_L001.fasta	0	4270	687	0	30	0	6	0	1951	1	12058	11097	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_23S_ORCA_23S_S2_L001.fasta	0	10172	671	0	15	0	7	0	338	0	11962	6935	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_23S_ORCA_23S_S2_L001.fasta	0	26948	50	0	29	0	0	0	141	0	1274	1658	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_23S_ORCA_23S_S2_L001.fasta	0	27442	43	0	21	0	2	0	45	0	1239	1308	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_23S_ORCA_23S_S2_L001.fasta	0	26145	58	0	31	0	0	1	71	0	1990	1804	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_23S_ORCA_23S_S2_L001.fasta	15	8299	2436	0	4471	23	7	1	3602	134	10451	661	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_23S_ORCA_23S_S2_L001.fasta	0	10282	200	0	5136	120	13	0	8235	174	4991	949	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_23S_ORCA_23S_S2_L001.fasta	25	7004	4778	0	4496	26	13	3	4156	148	8707	744	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG4_23S_ORCA_23S_S2_L001.fasta	1	3795	613	0	3338	41	4	20	16110	167	3118	2893	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG5_23S_ORCA_23S_S2_L001.fasta	1	10048	2701	0	4719	15	6	1	3210	119	8801	479	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG6_23S_ORCA_23S_S2_L001.fasta	0	8303	226	0	4335	96	8	1	10622	260	4952	1297	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL1_23S_ORCA_23S_S2_L001.fasta	0	10351	6205	0	1972	3	0	11	5313	0	4820	1425	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL2_23S_ORCA_23S_S2_L001.fasta	0	9417	6866	0	2217	5	0	8	5578	0	5252	757	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL3_23S_ORCA_23S_S2_L001.fasta	0	9393	7017	0	2159	2	2	9	5481	0	5270	767	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL4_23S_ORCA_23S_S2_L001.fasta	0	742	11632	0	530	19	3	0	16736	0	308	130	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL5_23S_ORCA_23S_S2_L001.fasta	0	599	13009	0	501	15	1	0	15481	0	322	172	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_TL6_23S_ORCA_23S_S2_L001.fasta	0	597	12605	0	692	8	2	0	15702	0	348	146	0	

