Taxonomy_highest	Bacillariophyta	Anthocerotophyta	Rhodophyta	Bacillariophyta	Bryophyta	Bacillariophyta	Bryophyta	Marchantiophyta	Marchantiophyta	Bryophyta	Marchantiophyta	Bacillariophyta	Marchantiophyta	Marchantiophyta	Bacillariophyta	Anthocerotophyta	Bacillariophyta	Bacillariophyta	Marchantiophyta	Anthocerotophyta	Marchantiophyta	Bryophyta	Bacillariophyta	Bryophyta	Bacillariophyta	Unknown	Unclassified	Environmental	
Taxonomy_intermediate					Bryophytina		Bryophytina			Bryophytina												Bryophytina		Bryophytina	
Taxonomy_intermediate	Mediophyceae	Anthocerotopsida	Florideophyceae	Bacillariophyceae	Bryopsida	Coscinodiscophyceae	Bryopsida	Marchantiopsida	Haplomitriopsida	Bryopsida	Marchantiopsida	Coscinodiscophyceae	Haplomitriopsida	Jungermanniopsida	Coscinodiscophyceae	Anthocerotopsida	Coscinodiscophyceae	Bacillariophyceae	Jungermanniopsida	Anthocerotopsida	Jungermanniopsida	Bryopsida	Fragilariophyceae	Bryopsida	Mediophyceae
Taxonomy_subclass	Lithodesmiophycidae	Notothylidae	Corallinophycidae	Bacillariophycidae	Dicranidae	Chaetocerotophycidae	Bryidae	Marchantiidae	Treubiidae	Buxbaumiidae	Blasiidae	Coscinodiscophycidae	Haplomitriidae	Metzgeriidae	Thalassiosirophycidae	Dendrocerotidae	Rhizosoleniophycidae	Eunotiophycidae	Pelliidae	Anthocerotidae	Jungermanniidae	Diphysciidae	Fragilariophycidae	Funariidae	Biddulphiophycidae	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_23S_ORCA_23S_S2_L001.fasta	0	0	0	278	115	0	553	0	0	0	0	0	0	0	1	0	0	8649	0	0	0	0	0	0	0	19750	754	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_23S_ORCA_23S_S2_L001.fasta	0	0	0	321	158	0	1069	0	0	0	0	0	0	0	1	0	0	7123	0	0	0	0	1	0	3	20579	845	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_23S_ORCA_23S_S2_L001.fasta	0	0	0	365	72	0	821	0	0	0	0	0	0	0	0	0	0	8532	0	0	0	0	1	0	2	19663	644	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_23S_ORCA_23S_S2_L001.fasta	0	0	0	125	5	0	2171	0	0	0	0	0	0	0	0	0	0	1461	0	0	0	0	0	1	0	26052	285	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_23S_ORCA_23S_S2_L001.fasta	0	0	0	153	8	0	527	0	0	0	0	1	0	0	0	0	0	1191	0	0	0	0	1	0	1	28093	125	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_23S_ORCA_23S_S2_L001.fasta	0	0	0	95	13	0	660	0	0	0	0	0	0	0	0	0	0	926	0	0	0	0	0	0	0	28335	71	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_23S_ORCA_23S_S2_L001.fasta	1	8	0	624	860	0	729	6	0	0	0	0	0	0	29	375	0	1994	5	19	0	9	2	7	35	23261	2136	0	
