Taxonomy_highest	Acidobacteria	Tenericutes	Crenarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Actinobacteria	Proteobacteria	Proteobacteria	Chloroflexi	Tenericutes	Aquificae	Euryarchaeota	Armatimonadetes	Firmicutes	Bacteroidetes	Proteobacteria	Actinobacteria	Proteobacteria	Chloroflexi	Caldiserica	Proteobacteria	Planctomycetes	Proteobacteria	Actinobacteria	Proteobacteria	Thaumarchaeota	Chlamydiae	Chlorobi	Chloroflexi	Proteobacteria	Cyanobacteria	Chrysiogenetes	Armatimonadetes	Firmicutes	Actinobacteria	Actinobacteria	Bacteroidetes	Deferribacteres	Chloroflexi	Deinococcus-Thermus	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Crenarchaeota	Proteobacteria	Dictyoglomi	Elusimicrobia	Proteobacteria	Tenericutes	Firmicutes	Actinobacteria	Crenarchaeota	Fibrobacteres	Bacteroidetes	Actinobacteria	Fusobacteria	Actinobacteria	Proteobacteria	Gemmatimonadetes	Actinobacteria	Firmicutes	Euryarchaeota	Tenericutes	Chloroflexi	Acidobacteria	Proteobacteria	Ignavibacteria	Actinobacteria	Proteobacteria	Chloroflexi	Firmicutes	Proteobacteria	Lentisphaerae	Proteobacteria	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Verrucomicrobia	Proteobacteria	Proteobacteria	Actinobacteria	Actinobacteria	Tenericutes	Proteobacteria	Firmicutes	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Thaumarchaeota	Thaumarchaeota	Nitrospinae	Nitrospirae	Cyanobacteria	Proteobacteria	Verrucomicrobia	Cyanobacteria	Proteobacteria	Proteobacteria	Planctomycetes	Planctomycetes	Cyanobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Actinobacteria	Verrucomicrobia	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Proteobacteria	Actinobacteria	Proteobacteria	Firmicutes	Proteobacteria	Acidobacteria	Actinobacteria	Chloroflexi	Bacteroidetes	Proteobacteria	Spirochaetes	Actinobacteria	Actinobacteria	Crenarchaeota	Synergistetes	Proteobacteria	Deinococcus-Thermus	Firmicutes	Euryarchaeota	Thermodesulfobacteria	Chloroflexi	Firmicutes	Chloroflexi	Euryarchaeota	Crenarchaeota	Thermotogae	Proteobacteria	Verrucomicrobia	Proteobacteria	Lentisphaerae	Proteobacteria	Unknown	Unclassified	Environmental	
Taxonomy_order	Acanthopleuribacterales	Acholeplasmatales	Acidilobales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Actinomycetales	Aeromonadales	Alteromonadales	Anaerolineales	Anaeroplasmatales	Aquificales	Archaeoglobales	Armatimonadales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Caldilineales	Caldisericales	Campylobacterales	Candidatus_Brocadiales	Cardiobacteriales	Catenulisporales	Caulobacterales	Cenarchaeales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chrysiogenales	Chthonomonadales	Clostridiales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfurococcales	Desulfuromonadales	Dictyoglomales	Elusimicrobiales	Enterobacteriales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fervidicoccales	Fibrobacterales	Flavobacteriales	Frankiales	Fusobacteriales	Gaiellales	Gallionellales	Gemmatimonadales	Glycomycetales	Halanaerobiales	Halobacteriales	Haloplasmatales	Herpetosiphonales	Holophagales	Hydrogenophilales	Ignavibacteriales	Kineosporiales	Kordiimonadales	Ktedonobacterales	Lactobacillales	Legionellales	Lentisphaerales	Magnetococcales	Methanobacteriales	Methanocellales	Methanococcales	Methanomicrobiales	Methanopyrales	Methanosarcinales	Methylacidiphilales	Methylococcales	Methylophilales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Natranaerobiales	Nautiliales	Neisseriales	Nitriliruptorales	Nitrosomonadales	Nitrosopumilales	Nitrososphaerales	Nitrospinales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Oscillatoriales	Parvularculales	Pasteurellales	Phycisphaerales	Planctomycetales	Pleurocapsales	Procabacteriales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Salinisphaerales	Selenomonadales	Sneathiellales	Solibacterales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Streptomycetales	Streptosporangiales	Sulfolobales	Synergistales	Syntrophobacterales	Thermales	Thermoanaerobacterales	Thermococcales	Thermodesulfobacteriales	Thermogemmatisporales	Thermolithobacterales	Thermomicrobiales	Thermoplasmatales	Thermoproteales	Thermotogales	Thiotrichales	Verrucomicrobiales	Vibrionales	Victivallales	Xanthomonadales	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_16S_ORCA_16S_S3_L001.fasta	0	0	305	338	0	5	72	0	4	226	0	0	0	9	910	79	35	0	708	83	0	1	2	0	0	82	0	1	30	31	532	0	0	14	142	1	59	327	0	9	2	1	152	31	0	2292	130	5	28	14	0	2	5	109	5	165	78	0	455	0	148	1	1	10	0	0	1297	5	3	11	0	1	16	89	0	3	0	0	0	1	0	0	0	1	6	264	40	0	490	0	0	1	4	36	0	0	1	103	0	31	35	0	0	0	65	1193	0	0	655	95	125	0	1196	50	115	252	22	1	0	0	1	4	341	43	2012	183	2	105	17	0	0	74	0	125	0	0	0	7	16	0	284	0	8	2	0	0	451	3193	86	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_16S_ORCA_16S_S3_L001.fasta	0	0	296	294	1	0	66	0	5	226	0	0	0	2	1338	57	42	0	870	65	0	2	3	0	0	65	0	0	32	20	398	0	0	36	170	0	57	321	0	8	3	2	164	49	0	2507	160	2	43	20	0	2	8	84	4	171	48	0	336	0	178	0	0	7	1	0	1371	9	7	10	0	6	9	124	0	0	0	0	0	0	0	0	0	0	13	244	40	0	521	1	0	0	3	30	0	0	3	126	0	21	31	0	0	0	61	1294	0	0	479	138	123	0	1248	35	154	275	33	0	2	2	1	2	220	29	1645	134	1	64	14	0	3	93	0	152	0	0	0	10	27	0	225	0	9	4	1	0	601	2939	50	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_16S_ORCA_16S_S3_L001.fasta	0	0	244	277	1	1	59	0	11	173	0	0	0	8	862	78	37	0	727	69	0	3	2	0	2	104	0	0	32	21	485	0	0	25	161	0	48	434	3	4	6	0	136	26	1	2001	131	4	14	1394	0	1	5	79	4	302	65	0	339	0	119	0	0	6	0	0	990	16	3	6	0	2	11	122	0	0	0	0	0	0	0	0	0	0	12	233	13	0	434	0	0	1	4	34	0	0	0	94	0	50	34	0	0	0	62	1179	1	0	432	172	98	0	1030	89	135	230	52	0	2	1	1	2	217	34	1933	316	2	205	10	0	1	57	0	131	0	1	0	9	32	0	268	0	12	5	1	0	388	3036	93	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_16S_ORCA_16S_S3_L001.fasta	1	0	166	149	0	0	17	0	22	130	0	0	0	4	418	386	30	0	942	72	0	2	0	0	1	98	0	0	23	19	359	0	0	17	182	0	48	604	2	1	2	0	94	29	0	1551	85	3	18	1622	0	0	2	41	13	422	34	0	114	0	113	0	0	4	0	0	759	9	6	4	0	1	16	103	0	2	0	0	0	0	0	0	0	0	28	115	17	0	313	0	0	0	1	25	0	0	5	69	0	126	50	0	1	0	41	1631	1	0	167	188	37	0	1101	271	125	260	155	0	1	1	2	0	84	21	2565	1208	1	103	5	0	0	49	0	124	0	0	0	3	17	0	154	0	18	11	0	0	438	2326	202	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_16S_ORCA_16S_S3_L001.fasta	0	0	139	154	0	1	18	0	43	87	0	0	0	4	310	179	14	1	865	49	0	3	2	0	0	128	0	0	32	8	513	0	0	7	138	0	53	884	3	0	3	0	63	23	0	1339	52	2	9	3784	0	1	1	31	18	620	43	0	110	0	53	0	0	1	0	0	454	6	1	2	0	0	12	177	0	0	0	0	0	0	0	0	0	0	24	90	11	0	168	0	0	5	0	24	0	0	2	51	0	97	24	0	0	0	33	1640	1	0	147	276	36	0	817	265	138	251	135	0	0	0	2	3	70	20	1797	909	2	514	5	0	1	32	0	92	0	1	0	3	14	0	130	0	13	7	0	0	284	2057	169	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_16S_ORCA_16S_S3_L001.fasta	1	0	175	141	2	0	24	0	8	80	0	0	0	11	418	197	16	0	783	64	0	3	1	0	1	103	0	1	37	12	375	0	0	11	85	1	31	560	4	3	2	1	67	13	0	1677	72	0	19	3141	0	0	4	41	23	319	48	0	129	0	66	0	1	0	0	0	608	10	3	3	0	1	28	89	0	0	0	0	0	0	0	0	0	0	29	118	15	0	150	0	0	3	1	19	0	0	0	81	0	133	16	0	0	0	33	1650	0	0	146	169	46	0	868	261	106	230	48	0	1	0	1	2	84	31	3294	746	1	37	3	0	1	59	0	117	0	0	0	8	12	0	177	0	13	3	0	0	314	2077	184	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_ETL1_16S_ORCA_16S_S3_L001.fasta	4	0	29	139	1	10	24	0	20	272	0	0	0	4	624	360	23	0	1119	58	0	0	0	0	2	70	0	0	43	13	649	0	0	25	363	4	35	497	3	10	1	1	301	34	1	865	347	7	117	36	0	23	19	3	27	526	69	0	169	1	194	0	1	11	1	0	1639	22	45	2	0	41	32	119	0	1	1	0	0	3	0	1	0	0	20	155	35	0	600	5	0	2	4	75	5	0	0	111	0	40	75	0	0	0	157	1303	0	0	118	235	26	1	1131	27	350	239	21	1	0	0	1	5	90	25	3131	116	13	35	7	0	11	241	0	175	0	0	0	3	7	1	417	0	8	33	0	0	901	1486	297	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_16S_ORCA_16S_S3_L001.fasta	1	0	109	305	1	16	24	0	4	274	0	0	0	2	1371	102	9	0	708	64	0	2	1	0	5	54	0	0	28	17	488	0	0	17	300	1	66	250	0	19	0	0	267	8	4	1309	169	5	46	42	0	5	30	24	6	326	244	0	466	0	134	0	4	0	0	4	1804	13	9	6	0	53	13	94	0	0	0	0	0	0	0	0	0	2	23	191	24	0	405	0	0	1	1	37	0	0	0	55	0	55	32	0	0	0	147	1211	0	0	408	183	52	0	1224	17	253	278	11	1	2	4	0	5	228	23	2631	83	3	75	4	0	3	136	1	283	0	0	1	6	14	0	379	2	8	22	0	0	647	2271	35	0	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_16S_ORCA_16S_S3_L001.fasta	1	0	12	78	0	76	12	0	12	3	0	0	0	2	239	61	1	0	708	2	0	0	0	0	2	240	0	0	106	0	54	0	0	6	148	0	360	451	0	2	2	0	17	6	0	468	110	1	27	9	0	1	8	13	4	91	3246	0	81	0	15	0	0	0	0	1	1871	0	6	0	0	17	57	718	0	0	0	0	0	1	0	0	0	1	439	420	0	0	205	1	0	0	0	5	0	0	0	69	0	85	71	0	0	0	134	2203	0	0	12	32	9	0	1408	2	26	1773	17	1	0	0	1	26	557	0	1611	49	3	21	18	1	0	11	0	234	0	0	0	6	1	0	143	0	34	4	0	0	993	724	104	0	
