Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Blastocladiomycota	Chytridiomycota	Chytridiomycota	Glomeromycota	Glomeromycota	Glomeromycota	Neocallimastigomycota	Unknown	Unclassified	Environmental	
Taxonomy_intermediate	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Saccharomycotina	Taphrinomycotina	Taphrinomycotina	Taphrinomycotina				Basidiomycota incertae sedis	Basidiomycota incertae sedis	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Ustilaginomycotina	Ustilaginomycotina							
Taxonomy_class	Arthoniomycetes	Dothideomycetes	Eurotiomycetes	Geoglossomycetes	Laboulbeniomycetes	Lecanoromycetes	Leotiomycetes	Lichinomycetes	Orbiliomycetes	Pezizomycetes	Sordariomycetes	Saccharomycetes	Pneumocystidomycetes	Schizosaccharomycetes	Taphrinomycetes	Agaricomycetes	Dacrymycetes	Tremellomycetes	Entorrhizomycetes	Wallemiomycetes	Agaricostilbomycetes	Atractiellomycetes	Tritirachiomycetes	Exobasidiomycetes	Ustilaginomycetes	Blastocladiomycetes	Chytridiomycetes	Monoblepharidomycetes	Archaeosporomycetes	Glomeromycetes	Paraglomeromycetes	Neocallimastigomycetes	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001.fasta	4	551	714	21	0	7	221	0	4	224	4346	84	0	12	2	1281	0	357	2	1	3	1	4	10	1	39	200	78	0	310	3	4	356	1432	928	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001.fasta	0	528	539	11	0	17	161	0	1	172	3873	154	0	6	2	1703	1	419	5	0	3	2	1	7	2	90	110	105	8	197	3	3	399	1523	1155	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001.fasta	1	607	759	13	0	13	209	0	2	202	4197	104	0	13	4	1384	0	386	1	0	1	1	1	6	1	56	161	116	0	210	4	1	396	1359	992	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001.fasta	1	694	424	8	0	25	169	0	2	101	2840	110	0	2	6	1167	0	223	17	3	6	0	3	16	1	267	85	1556	12	374	3	1	563	1596	925	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001.fasta	1	449	251	3	0	21	149	1	4	127	3147	146	0	1	14	954	1	156	19	0	1	0	0	53	0	368	113	2210	12	247	2	3	519	1196	1032	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001.fasta	0	356	311	5	0	10	94	0	0	112	2091	108	0	5	5	1052	0	198	26	0	4	0	0	16	0	157	174	2842	23	110	2	2	329	2081	1087	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001.fasta	1	665	317	4	0	8	591	0	3	220	1454	85	0	0	2	2299	0	688	2	0	3	0	1	6	16	35	78	57	36	220	4	1	359	2982	1063	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001.fasta	0	338	1367	3	0	46	3005	1	0	101	394	140	0	0	0	1459	0	696	2	0	3	0	0	1	1	5	14	73	1	84	0	1	255	1814	1396	
