Taxonomy_highest	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Unknown	Unclassified	Environmental	
Taxonomy_intermediate	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina	Pezizomycotina			Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina	Pucciniomycotina
Taxonomy_intermediate	Dothideomycetes	Dothideomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Lecanoromycetes	Lecanoromycetes	Lecanoromycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Agaricomycetes	Agaricomycetes					
Taxonomy_subclass	Dothideomycetidae	Pleosporomycetidae	Chaetothyriomycetidae	Eurotiomycetidae	Mycocaliciomycetidae	Acarosporomycetidae	Lecanoromycetidae	Ostropomycetidae	Hypocreomycetidae	Sordariomycetidae	Xylariomycetidae	Agaricomycetidae	Phallomycetidae	Classiculomycetes	Cystobasidiomycetes	Microbotryomycetes	Mixiomycetes	Pucciniomycetes	Unknown	Unclassified	Environmental	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ1_18S_ORCA_18S_S1_L001.fasta	154	353	356	356	0	0	4	2	2227	2012	94	89	0	0	3	14	0	0	348	4206	982	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ2_18S_ORCA_18S_S1_L001.fasta	116	367	295	241	0	0	12	2	2334	1445	67	224	0	0	2	12	0	2	396	4450	1235	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ3_18S_ORCA_18S_S1_L001.fasta	179	370	419	337	0	0	10	2	2311	1788	85	103	0	0	2	11	0	4	396	4102	1081	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ4_18S_ORCA_18S_S1_L001.fasta	75	559	323	95	0	0	14	0	1734	941	156	62	0	0	6	16	0	4	546	5735	934	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ5_18S_ORCA_18S_S1_L001.fasta	46	374	147	104	0	0	13	0	2458	646	31	144	0	0	2	8	0	2	497	5661	1067	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_DBZ6_18S_ORCA_18S_S1_L001.fasta	50	266	169	141	0	0	4	2	1330	713	35	40	0	0	3	14	0	0	307	7005	1121	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_G4_18S_ORCA_18S_S1_L001.fasta	108	473	126	185	0	0	4	3	1087	324	23	1144	1	0	10	35	0	2	364	6262	1049	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB1_18S_ORCA_18S_S1_L001.fasta	25	206	519	839	0	0	26	20	216	142	3	507	2	0	4	368	0	1	294	6613	1415	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB2_18S_ORCA_18S_S1_L001.fasta	24	136	400	674	1	0	20	3	168	124	2	337	0	0	2	375	0	0	499	6468	1967	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB3_18S_ORCA_18S_S1_L001.fasta	25	131	430	1182	0	0	19	7	203	140	6	523	0	0	0	323	0	1	325	6441	1444	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB4_18S_ORCA_18S_S1_L001.fasta	33	152	388	1061	0	0	20	8	239	137	3	475	1	0	1	369	0	2	415	6499	1397	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB5_18S_ORCA_18S_S1_L001.fasta	20	96	384	745	0	0	22	2	185	145	1	242	2	0	4	372	0	2	680	7093	1205	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LB6_18S_ORCA_18S_S1_L001.fasta	20	182	417	925	1	0	64	4	237	150	1	385	1	0	1	308	0	0	546	6900	1058	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG1_18S_ORCA_18S_S1_L001.fasta	164	601	423	40	1	0	10	0	1548	512	35	129	0	0	0	45	0	1	750	4762	2179	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG2_18S_ORCA_18S_S1_L001.fasta	102	423	204	33	0	0	10	0	1381	249	19	172	0	0	0	29	0	1	745	5835	1997	
Taxo_SILVA_Rdm_Derep_Clean_Hunt_Derep_Hpreprocess_ORCA_LG3_18S_ORCA_18S_S1_L001.fasta	101	678	336	40	0	0	19	0	1518	314	16	191	0	0	0	29	0	1	547	5191	2219	
